,State,501,507
0,Washington,NaN,73
1,Illinois,NaN,52
2,California,NaN,193
3,Arizona,NaN,68
4,Massachusetts,NaN,28
5,Wisconsin,NaN,172
6,Texas,NaN,130
7,Nebraska,NaN,0
8,Utah,NaN,15
9,Oregon,NaN,23
10,Florida,NaN,111
11,New York,NaN,152
12,Rhode Island,NaN,6
13,Georgia,NaN,128
14,New Hampshire,NaN,0
15,North Carolina,NaN,35
16,New Jersey,NaN,42
17,Colorado,NaN,56
18,Maryland,NaN,120
19,Nevada,NaN,3
20,Tennessee,NaN,32
21,Hawaii,NaN,3
22,Indiana,NaN,72
23,Kentucky,NaN,76
24,Minnesota,NaN,42
25,Oklahoma,NaN,35
26,Pennsylvania,NaN,96
27,South Carolina,NaN,31
28,District of Columbia,NaN,4
29,Kansas,NaN,0
30,Missouri,NaN,78
31,Vermont,NaN,2
32,Virginia,NaN,92
33,Connecticut,NaN,5
34,Iowa,NaN,6
35,Louisiana,NaN,35
36,Ohio,NaN,112
37,Michigan,NaN,167
38,South Dakota,NaN,15
39,Arkansas,NaN,7
40,Delaware,NaN,21
41,Mississippi,NaN,11
42,New Mexico,NaN,17
43,North Dakota,NaN,8
44,Wyoming,NaN,0
45,Alaska,NaN,0
46,Maine,NaN,23
47,Alabama,NaN,54
48,Idaho,NaN,14
49,Montana,NaN,23
50,Puerto Rico,NaN,5
51,Virgin Islands,NaN,0
52,Guam,NaN,0
53,West Virginia,NaN,23
54,Northern Mariana Islands,NaN,0
55,American Samoa,NaN,0
