,Region,698,703,710,717,724
0,Belgium,,NaN,NaN,NaN,NaN
1,Bulgaria,,469,428,365,312
2,Czechia,,628,486,338,212
3,Denmark,,122,169,207,187
4,Germany,,2402,2147,1872,1505
5,Estonia,,26,30,35,39
6,Ireland,,57,55,50,43
7,Greece,,555,485,416,344
8,Spain,,462,884,923,1258
9,France,,1180,1450,1489,1315
10,Croatia,,318,269,222,172
11,Italy,,976,1309,1779,2342
12,Cyprus,,12,17,23,25
13,Latvia,,87,95,104,111
14,Lithuania,,133,132,129,117
15,Luxembourg,,14,16,15,15
16,Hungary,,767,503,337,216
17,Malta,,4,5,7,10
18,Netherlands,,302,235,165,110
19,Austria,,211,138,102,81
20,Poland,,2722,2414,2006,1583
21,Portugal,,166,186,199,199
22,Romania,,318,240,180,135
23,Slovenia,,NaN,NaN,NaN,NaN
24,Slovakia,,NaN,NaN,NaN,NaN
25,Finland,,58,54,60,58
26,Sweden,,47,62,82,102
27,United Kingdom,,1178,1742,2374,2493
28,Iceland,,0,0,1,1
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,76,90,98,99
31,Switzerland,,175,179,152,117
