,Region,432,437,444,451,458
0,Belgium,,355,448,538,676
1,Bulgaria,,1102,1204,1210,1090
2,Czechia,,984,746,560,400
3,Denmark,,13,11,7,5
4,Germany,,2013,2531,3303,4003
5,Estonia,,78,68,56,41
6,Ireland,,74,75,81,80
7,Greece,,446,457,456,434
8,Spain,,1181,1190,1019,934
9,France,,2767,3292,3845,4295
10,Croatia,,181,265,377,567
11,Italy,,3044,2909,2633,2276
12,Cyprus,,9,8,7,6
13,Latvia,,54,52,51,48
14,Lithuania,,78,94,122,162
15,Luxembourg,,33,35,39,41
16,Hungary,,1963,2094,2094,1932
17,Malta,,15,9,4,1
18,Netherlands,,311,357,417,468
19,Austria,,233,257,281,294
20,Poland,,3745,4769,5903,6758
21,Portugal,,58,46,37,29
22,Romania,,962,1075,1173,1217
23,Slovenia,,46,53,60,65
24,Slovakia,,389,320,252,196
25,Finland,,19,18,17,16
26,Sweden,,162,179,181,188
27,United Kingdom,,492,479,433,382
28,Iceland,,0,1,2,4
29,Liechtenstein,,0,1,1,1
30,Norway,,12,11,9,7
31,Switzerland,,118,145,170,205
