,Region,425,430,437,444,451
0,Belgium,,312,367,455,541
1,Bulgaria,,1081,1490,2025,2573
2,Czechia,,1343,1349,1264,1134
3,Denmark,,18,22,24,25
4,Germany,,1944,2321,2690,3031
5,Estonia,,84,88,88,78
6,Ireland,,77,98,163,326
7,Greece,,395,465,504,535
8,Spain,,776,532,414,317
9,France,,2211,2348,2405,2403
10,Croatia,,139,191,272,386
11,Italy,,3068,3131,3022,2691
12,Cyprus,,6,7,7,6
13,Latvia,,58,55,50,47
14,Lithuania,,77,69,67,65
15,Luxembourg,,28,29,33,33
16,Hungary,,1729,2094,2256,2263
17,Malta,,23,21,17,12
18,Netherlands,,296,365,443,524
19,Austria,,226,265,301,330
20,Poland,,3102,4184,5431,6993
21,Portugal,,69,59,48,41
22,Romania,,872,1041,1241,1452
23,Slovenia,,49,51,54,57
24,Slovakia,,505,441,370,292
25,Finland,,26,28,30,32
26,Sweden,,180,151,138,150
27,United Kingdom,,725,707,703,709
28,Iceland,,0,0,0,1
29,Liechtenstein,,0,0,1,1
30,Norway,,13,18,22,25
31,Switzerland,,109,118,138,154
