,State,375,381
0,Washington,4285,114
1,Illinois,21253,469
2,California,40928,3553
3,Arizona,13120,898
4,Massachusetts,14577,484
5,Wisconsin,6434,172
6,Texas,37074,2104
7,Nebraska,1920,28
8,Utah,1665,107
9,Oregon,1957,36
10,Florida,26479,1469
11,New York,43634,1343
12,Rhode Island,2154,59
13,Georgia,14198,935
14,New Hampshire,1057,72
15,North Carolina,9335,749
16,New Jersey,21484,381
17,Colorado,5640,143
18,Maryland,7127,261
19,Nevada,4270,212
20,Tennessee,9650,845
21,Hawaii,409,63
22,Indiana,9974,153
23,Kentucky,3745,379
24,Minnesota,6268,68
25,Oklahoma,3547,281
26,Pennsylvania,21617,866
27,South Carolina,7042,601
28,District of Columbia,913,39
29,Kansas,3767,151
30,Missouri,7041,125
31,Vermont,174,0
32,Virginia,6464,380
33,Connecticut,7046,204
34,Iowa,4901,156
35,Louisiana,8859,345
36,Ohio,11175,291
37,Michigan,15525,105
38,South Dakota,1778,51
39,Arkansas,4868,251
40,Delaware,1090,80
41,Mississippi,6045,206
42,New Mexico,3283,94
43,North Dakota,1447,10
44,Wyoming,596,52
45,Alaska,262,5
46,Maine,590,60
47,Alabama,7688,1660
48,Idaho,1725,45
49,Montana,1233,144
50,Puerto Rico,1829,36
51,Virgin Islands,24,0
52,Guam,129,0
53,West Virginia,2024,111
54,Northern Mariana Islands,2,0
55,American Samoa,0,0
