,State,347,353
0,Washington,3459,373
1,Illinois,18322,1311
2,California,26638,2551
3,Arizona,9061,586
4,Massachusetts,12610,603
5,Wisconsin,5261,106
6,Texas,28430,1401
7,Nebraska,1672,100
8,Utah,1301,121
9,Oregon,1500,83
10,Florida,21987,819
11,New York,38415,975
12,Rhode Island,1777,40
13,Georgia,10964,282
14,New Hampshire,780,71
15,North Carolina,6910,550
16,New Jersey,19208,654
17,Colorado,4934,339
18,Maryland,5994,276
19,Nevada,3180,235
20,Tennessee,7025,746
21,Hawaii,289,2
22,Indiana,8475,640
23,Kentucky,2723,168
24,Minnesota,5489,211
25,Oklahoma,2547,165
26,Pennsylvania,16230,1538
27,South Carolina,5469,218
28,District of Columbia,794,16
29,Kansas,2872,361
30,Missouri,5736,233
31,Vermont,140,17
32,Virginia,5124,315
33,Connecticut,6099,327
34,Iowa,3946,222
35,Louisiana,7537,147
36,Ohio,9076,611
37,Michigan,13306,476
38,South Dakota,1513,36
39,Arkansas,3749,281
40,Delaware,930,60
41,Mississippi,4871,334
42,New Mexico,2551,244
43,North Dakota,1310,45
44,Wyoming,438,106
45,Alaska,215,17
46,Maine,359,60
47,Alabama,4873,288
48,Idaho,1448,116
49,Montana,972,48
50,Puerto Rico,1545,121
51,Virgin Islands,23,0
52,Guam,122,4
53,West Virginia,1376,124
54,Northern Mariana Islands,2,0
55,American Samoa,0,0
