,State,319,325
0,Washington,2925,218
1,Illinois,14116,1655
2,California,19928,760
3,Arizona,6950,329
4,Massachusetts,11004,284
5,Wisconsin,3952,435
6,Texas,23137,1428
7,Nebraska,1205,188
8,Utah,939,71
9,Oregon,1033,180
10,Florida,19177,636
11,New York,34958,637
12,Rhode Island,1413,81
13,Georgia,9806,486
14,New Hampshire,564,54
15,North Carolina,5543,333
16,New Jersey,17321,420
17,Colorado,3356,429
18,Maryland,4846,264
19,Nevada,2315,199
20,Tennessee,4943,516
21,Hawaii,262,28
22,Indiana,6242,617
23,Kentucky,2072,233
24,Minnesota,4043,405
25,Oklahoma,1896,150
26,Pennsylvania,11255,1126
27,South Carolina,4566,162
28,District of Columbia,697,24
29,Kansas,1786,279
30,Missouri,4284,570
31,Vermont,79,11
32,Virginia,4200,121
33,Connecticut,5146,205
34,Iowa,2717,386
35,Louisiana,6584,101
36,Ohio,6959,659
37,Michigan,10321,981
38,South Dakota,1110,168
39,Arkansas,2660,179
40,Delaware,793,9
41,Mississippi,3961,177
42,New Mexico,1749,273
43,North Dakota,1019,96
44,Wyoming,266,110
45,Alaska,143,30
46,Maine,227,47
47,Alabama,3889,350
48,Idaho,1035,168
49,Montana,736,76
50,Puerto Rico,1192,148
51,Virgin Islands,23,0
52,Guam,113,0
53,West Virginia,838,135
54,Northern Mariana Islands,2,0
55,American Samoa,0,0
