,State,326,332
0,Washington,2879,183
1,Illinois,15339,1337
2,California,21040,1458
3,Arizona,7357,444
4,Massachusetts,11349,383
5,Wisconsin,4339,302
6,Texas,24400,1280
7,Nebraska,1373,194
8,Utah,1055,101
9,Oregon,1155,161
10,Florida,19866,680
11,New York,35620,726
12,Rhode Island,1509,106
13,Georgia,10076,233
14,New Hampshire,603,59
15,North Carolina,5823,245
16,New Jersey,17751,486
17,Colorado,3958,624
18,Maryland,5117,314
19,Nevada,2539,241
20,Tennessee,5462,603
21,Hawaii,274,18
22,Indiana,6805,599
23,Kentucky,2207,120
24,Minnesota,4503,456
25,Oklahoma,2064,219
26,Pennsylvania,12490,1205
27,South Carolina,4739,146
28,District of Columbia,715,23
29,Kansas,2072,289
30,Missouri,4609,220
31,Vermont,95,17
32,Virginia,4411,217
33,Connecticut,5363,279
34,Iowa,3209,411
35,Louisiana,6818,270
36,Ohio,7492,801
37,Michigan,11195,907
38,South Dakota,1259,152
39,Arkansas,2945,385
40,Delaware,816,38
41,Mississippi,4199,277
42,New Mexico,1957,154
43,North Dakota,1152,174
44,Wyoming,321,182
45,Alaska,176,64
46,Maine,257,49
47,Alabama,4102,186
48,Idaho,1175,157
49,Montana,818,102
50,Puerto Rico,1272,95
51,Virgin Islands,23,0
52,Guam,115,2
53,West Virginia,968,151
54,Northern Mariana Islands,2,0
55,American Samoa,0,0
