,State,263,269
0,Washington,2190,49
1,Illinois,9230,205
2,California,16579,407
3,Arizona,5759,46
4,Massachusetts,9604,56
5,Wisconsin,1465,88
6,Texas,16971,653
7,Nebraska,519,27
8,Utah,517,47
9,Oregon,599,30
10,Florida,15364,631
11,New York,33294,101
12,Rhode Island,1130,12
13,Georgia,7416,262
14,New Hampshire,456,11
15,North Carolina,3770,111
16,New Jersey,16174,35
17,Colorado,2113,49
18,Maryland,3999,37
19,Nevada,1661,36
20,Tennessee,2767,203
21,Hawaii,169,15
22,Indiana,3789,124
23,Kentucky,1252,44
24,Minnesota,2194,50
25,Oklahoma,1098,38
26,Pennsylvania,8330,141
27,South Carolina,3552,98
28,District of Columbia,637,7
29,Kansas,774,69
30,Missouri,2424,266
31,Vermont,58,0
32,Virginia,3358,75
33,Connecticut,4530,26
34,Iowa,1462,83
35,Louisiana,5655,86
36,Ohio,4999,73
37,Michigan,7219,94
38,South Dakota,286,43
39,Arkansas,1569,139
40,Delaware,654,7
41,Mississippi,3101,75
42,New Mexico,911,13
43,North Dakota,337,50
44,Wyoming,54,3
45,Alaska,60,4
46,Maine,143,1
47,Alabama,2664,89
48,Idaho,507,30
49,Montana,210,45
50,Puerto Rico,730,45
51,Virgin Islands,20,2
52,Guam,58,8
53,West Virginia,385,23
54,Northern Mariana Islands,2,0
55,American Samoa,0,NaN
