,State,305,311
0,Washington,2619,134
1,Illinois,12050,1044
2,California,18726,502
3,Arizona,6464,186
4,Massachusetts,10512,216
5,Wisconsin,3150,462
6,Texas,21013,1015
7,Nebraska,909,123
8,Utah,793,104
9,Oregon,820,67
10,Florida,17991,521
11,New York,34319,372
12,Rhode Island,1294,56
13,Georgia,9198,231
14,New Hampshire,512,6
15,North Carolina,5034,220
16,New Jersey,16761,258
17,Colorado,2806,349
18,Maryland,4434,176
19,Nevada,2017,115
20,Tennessee,4266,439
21,Hawaii,233,3
22,Indiana,5305,436
23,Kentucky,1787,138
24,Minnesota,3297,365
25,Oklahoma,1634,133
26,Pennsylvania,9816,708
27,South Carolina,4283,223
28,District of Columbia,670,9
29,Kansas,1410,206
30,Missouri,3578,272
31,Vermont,63,5
32,Virginia,3938,232
33,Connecticut,4828,102
34,Iowa,2202,260
35,Louisiana,6260,153
36,Ohio,5996,316
37,Michigan,8875,589
38,South Dakota,819,161
39,Arkansas,2357,260
40,Delaware,748,7
41,Mississippi,3676,149
42,New Mexico,1383,222
43,North Dakota,846,117
44,Wyoming,176,50
45,Alaska,103,12
46,Maine,176,14
47,Alabama,3457,326
48,Idaho,849,87
49,Montana,603,101
50,Puerto Rico,1017,117
51,Virgin Islands,23,1
52,Guam,103,0
53,West Virginia,662,124
54,Northern Mariana Islands,2,0
55,American Samoa,0,0
