,State,312,318
0,Washington,2703,117
1,Illinois,12882,1026
2,California,19151,452
3,Arizona,6634,170
4,Massachusetts,10722,202
5,Wisconsin,3487,237
6,Texas,21843,920
7,Nebraska,989,112
8,Utah,868,46
9,Oregon,905,111
10,Florida,18500,638
11,New York,34561,269
12,Rhode Island,1346,73
13,Georgia,9442,410
14,New Hampshire,526,8
15,North Carolina,5240,258
16,New Jersey,16978,219
17,Colorado,3003,273
18,Maryland,4625,247
19,Nevada,2136,84
20,Tennessee,4554,429
21,Hawaii,244,22
22,Indiana,5685,415
23,Kentucky,1896,144
24,Minnesota,3637,432
25,Oklahoma,1736,74
26,Pennsylvania,10297,525
27,South Carolina,4353,116
28,District of Columbia,680,17
29,Kansas,1529,178
30,Missouri,3850,285
31,Vermont,67,0
32,Virginia,4058,132
33,Connecticut,4961,139
34,Iowa,2399,231
35,Louisiana,6407,202
36,Ohio,6399,406
37,Michigan,9467,720
38,South Dakota,943,188
39,Arkansas,2470,87
40,Delaware,770,28
41,Mississippi,3806,106
42,New Mexico,1540,163
43,North Dakota,926,80
44,Wyoming,215,56
45,Alaska,121,24
46,Maine,191,10
47,Alabama,3577,230
48,Idaho,920,104
49,Montana,671,115
50,Puerto Rico,1094,74
51,Virgin Islands,23,0
52,Guam,112,2
53,West Virginia,729,85
54,Northern Mariana Islands,2,0
55,American Samoa,0,0
