,2020-06-20-2020-06-27,2020-06-27-2020-07-04,2020-07-04-2020-07-11,2020-07-11-2020-07-18,2020-07-18-2020-07-25,2020-07-25-2020-08-01,2020-08-01-2020-08-08,2020-08-08-2020-08-15,2020-08-15-2020-08-22,2020-08-22-2020-08-29,2020-08-29-2020-09-05,2020-09-05-2020-09-12,2020-09-12-2020-09-19,2020-09-19-2020-09-26,2020-09-26-2020-10-03,2020-10-03-2020-10-10,2020-10-10-2020-10-17,2020-10-17-2020-10-24,2020-10-24-2020-10-31,2020-10-31-2020-11-07,2020-11-07-2020-11-14,2020-11-14-2020-11-21,2020-11-21-2020-11-28,2020-11-28-2020-12-05,2020-12-05-2020-12-12,2020-12-12-2020-12-19
Karlen_pypm,,,,,,52.0,5.0,6.0,79.0,38.0,38.0,21.0,1.0,144.0,29.0,42.0,15.0,44.0,37.0,59.0,6.0,104.0,62.0,27.0,90.0,158.0
reich_BPagano_RtDriven,,,,,,,,,,,,,,,,,36.0,62.0,58.0,99.0,70.0,111.0,76.0,7.0,236.0,333.0
reich_Caltech_CS156,,,,,,,,,,,,,,,,,,,,,9.0,114.0,12.0,52.0,142.0,208.0
reich_CEID_Walk,,,,,,,,,44.0,11.0,54.0,34.0,35.0,167.0,45.0,53.0,8.0,10.0,43.0,83.0,38.0,126.0,108.0,148.0,362.0,472.0
reich_CMU_TimeSeries,,,,,,42.0,46.0,52.0,67.0,19.0,59.0,26.0,27.0,168.0,46.0,52.0,26.0,13.0,20.0,40.0,23.0,82.0,73.0,72.0,247.0,267.0
reich_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,,,,39.0,75.0,55.0,115.0,192.0,292.0,37.0,293.0
reich_Covid19Sim_Simulator,,,,25.0,35.0,3.0,4.0,14.0,,,39.0,28.0,37.0,128.0,19.0,24.0,12.0,25.0,56.0,10.0,5.0,164.0,,113.0,59.0,328.0
reich_CovidAnalytics_DELPHI,,,,,,,,,,,,,,,,90.0,16.0,8.0,13.0,11.0,44.0,86.0,25.0,38.0,6.0,192.0
reich_COVIDhub_baseline,,,,102.0,71.0,63.0,61.0,30.0,44.0,13.0,58.0,31.0,38.0,169.0,31.0,47.0,9.0,9.0,42.0,83.0,33.0,117.0,104.0,127.0,347.0,428.0
reich_COVIDhub_ensemble,,,,,71.0,46.0,43.0,15.0,35.0,11.0,48.0,23.0,4.0,153.0,25.0,38.0,13.0,9.0,17.0,71.0,25.0,125.0,30.0,74.0,206.0,309.0
reich_CU_nochange,,,,,,,,,,,,,,,,,36.0,48.0,4.0,43.0,22.0,104.0,8.0,147.0,239.0,303.0
reich_CU_scenario_high,,,,,,,,,,,,,,,,,36.0,50.0,1.0,42.0,23.0,105.0,9.0,145.0,236.0,298.0
reich_CU_scenario_low,,,,,,,,,,,,,,,,,34.0,45.0,5.0,44.0,20.0,102.0,11.0,143.0,233.0,297.0
reich_CU_scenario_mid,,,,,,,,,,,,,,,,,40.0,52.0,5.0,41.0,22.0,101.0,11.0,142.0,231.0,297.0
reich_CU_select,,,,98.0,63.0,24.0,99.0,85.0,89.0,70.0,5.0,38.0,44.0,127.0,34.0,1.0,40.0,52.0,5.0,41.0,22.0,101.0,11.0,143.0,233.0,297.0
reich_DDS_NBDS,,,,,,,77.0,15.0,27.0,98.0,10.0,22.0,23.0,169.0,32.0,46.0,33.0,28.0,15.0,83.0,30.0,121.0,54.0,131.0,275.0,403.0
reich_epiforecasts_ensemble1,,,,,,,,,,,,,,,,,19.0,3.0,36.0,88.0,43.0,102.0,159.0,115.0,239.0,139.0
reich_Geneva_DetGrowth,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_Google_Harvard_CPF,,,,,,,,,,,,,,,,,63.0,45.0,3.0,82.0,44.0,153.0,21.0,127.0,109.0,312.0
reich_GT_DeepCOVID,,,,,120.0,128.0,60.0,47.0,34.0,53.0,48.0,17.0,14.0,134.0,13.0,29.0,16.0,38.0,61.0,129.0,77.0,161.0,149.0,64.0,130.0,254.0
reich_IHME_CurveFit,,,,25.0,,172.0,155.0,140.0,68.0,,90.0,14.0,24.0,,8.0,9.0,,,1.0,80.0,,,,46.0,,343.0
reich_IowaStateLW_STEM,,,,343.0,286.0,116.0,53.0,39.0,,16.0,19.0,47.0,3.0,100.0,32.0,38.0,22.0,14.0,37.0,78.0,14.0,109.0,34.0,106.0,179.0,368.0
reich_IQVIA_ACOE_STAN,,,,,,,,,,,,,,,,,36.0,42.0,,116.0,82.0,222.0,170.0,288.0,455.0,
reich_JCB_PRM,,,,,,,69.0,50.0,72.0,54.0,37.0,4.0,11.0,144.0,20.0,38.0,35.0,29.0,1.0,56.0,37.0,176.0,56.0,163.0,253.0,366.0
reich_JHU_CSSE_DECOM,,,,,,,,,,,,,,,,,39.0,,3.0,18.0,1.0,111.0,24.0,9.0,221.0,288.0
reich_JHU_IDD_CovidSP,,,,234.0,131.0,164.0,139.0,138.0,143.0,125.0,56.0,109.0,87.0,68.0,37.0,15.0,35.0,31.0,8.0,42.0,10.0,169.0,152.0,79.0,48.0,202.0
reich_JHU_UNC_GAS_StatMechPool,,,,,,,,,,,,,,,,,,,,74.0,12.0,,,,,
reich_JHUAPL_Bucky,,,,,,,,,,,,63.0,149.0,31.0,117.0,123.0,25.0,105.0,103.0,55.0,73.0,41.0,417.0,111.0,136.0,216.0
reich_LANL_GrowthRate,,,,97.0,50.0,62.0,43.0,35.0,57.0,7.0,48.0,4.0,12.0,170.0,51.0,51.0,21.0,46.0,55.0,109.0,46.0,174.0,98.0,147.0,242.0,109.0
reich_LNQ_ens1,,,,,,62.0,41.0,4.0,13.0,6.0,52.0,13.0,3.0,180.0,43.0,38.0,1.0,13.0,10.0,78.0,11.0,66.0,18.0,22.0,224.0,191.0
reich_Microsoft_DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,,,,297.0
reich_MIT_CritData_GBCF,,,,,,,,,,,,,,,,,11.0,13.0,21.0,34.0,14.0,106.0,9.0,13.0,130.0,208.0
reich_MITCovAlliance_SIR,,,,16.0,69.0,11.0,15.0,14.0,,4.0,,,153.0,25.0,169.0,192.0,,,294.0,,,,,,,
reich_MOBS_GLEAM_COVID,,,,56.0,53.0,5.0,6.0,25.0,43.0,6.0,51.0,58.0,84.0,84.0,70.0,39.0,6.0,70.0,40.0,69.0,11.0,68.0,81.0,118.0,248.0,373.0
reich_MSRA_DeepST,,,,,,,,,,,,,,,,,,,6.0,,12.0,138.0,19.0,54.0,73.0,313.0
reich_NotreDame_mobility,,,,,,,,,,,,,,,,,14.0,16.0,13.0,78.0,41.0,197.0,88.0,184.0,293.0,507.0
reich_OliverWyman_Navigator,,,,136.0,49.0,66.0,58.0,15.0,38.0,10.0,72.0,23.0,4.0,162.0,21.0,37.0,25.0,39.0,29.0,63.0,14.0,40.0,24.0,41.0,169.0,270.0
reich_PSI_DRAFT,,,,43.0,91.0,14.0,1.0,8.0,16.0,51.0,62.0,14.0,1.0,199.0,89.0,77.0,80.0,83.0,96.0,153.0,74.0,284.0,226.0,358.0,565.0,802.0
reich_RobertWalraven_ESG,,,,95.0,24.0,72.0,74.0,78.0,230.0,14.0,26.0,2.0,23.0,33.0,119.0,37.0,3.0,69.0,15.0,68.0,77.0,237.0,181.0,321.0,443.0,358.0
reich_RPI_UW_Mob_Collision,,,,,,,,,30.0,4.0,49.0,4.0,8.0,156.0,66.0,65.0,61.0,35.0,32.0,80.0,81.0,212.0,112.0,303.0,325.0,568.0
reich_SteveMcConnell_CovidComplete,,,,,,,,,,,54.0,0.0,23.0,171.0,46.0,53.0,27.0,9.0,14.0,57.0,11.0,131.0,60.0,60.0,163.0,120.0
reich_TTU_squider,,,,,,,,,,,,,,,,,24.0,19.0,10.0,2.0,147.0,14.0,104.0,91.0,53.0,219.0
reich_UA_EpiCovDA,,,,,,,,,,,,,,,,,11.0,30.0,26.0,71.0,19.0,125.0,118.0,174.0,101.0,140.0
reich_UChicagoCHATTOPADHYAY_UnIT,,,,,,,,,,,,,,,,,,,,,,51.0,18.0,26.0,304.0,21.0
reich_UCLA_SuEIR,,,,27.0,14.0,33.0,32.0,8.0,21.0,6.0,63.0,16.0,12.0,172.0,44.0,55.0,49.0,51.0,52.0,101.0,92.0,254.0,157.0,133.0,265.0,337.0
reich_UCSB_ACTS,,,,,,,,,,,,,,,,,,,,80.0,54.0,189.0,20.0,225.0,55.0,536.0
reich_UCSD_NEU_DeepGLEAM,,,,,,,,,,,,,5.0,105.0,74.0,34.0,9.0,75.0,39.0,65.0,3.0,52.0,76.0,105.0,242.0,363.0
reich_UMass_MechBayes,,,,153.0,17.0,56.0,50.0,26.0,32.0,14.0,48.0,22.0,4.0,154.0,23.0,29.0,25.0,22.0,2.0,48.0,38.0,71.0,82.0,14.0,120.0,114.0
reich_UMich_RidgeTfReg,,,,,,,,,190.0,,,,1035.0,856.0,947.0,183.0,59.0,59.0,39.0,22.0,11.0,,,,,
reich_USACE_ERDC_SEIR,,,,79.0,92.0,123.0,266.0,333.0,323.0,322.0,222.0,256.0,277.0,137.0,309.0,376.0,,520.0,,594.0,,,1360.0,1810.0,2279.0,
reich_UT_Mobility,,,,48.0,28.0,20.0,39.0,1.0,,20.0,55.0,,,183.0,4.0,0.0,39.0,19.0,41.0,76.0,130.0,68.0,52.0,61.0,34.0,388.0
UMich_RidgeTfReg,,692.0,542.0,675.0,557.0,488.0,417.0,380.0,367.0,153.0,87.0,138.0,104.0,56.0,57.0,48.0,59.0,,,,,,,,,
USC_SI_kJalpha_RF,,,,,,,,,,,,,,,,,,,,,39.0,87.0,,,,
USC_SI_kJalpha,,,,123.0,86.0,69.0,69.0,24.0,19.0,1.0,46.0,20.0,48.0,143.0,25.0,43.0,7.0,51.0,22.0,78.0,7.0,54.0,10.0,27.0,171.0,272.0
YYG_ParamSearch,,,,15.0,13.0,30.0,40.0,25.0,36.0,7.0,48.0,25.0,0.0,156.0,24.0,20.0,23.0,,,,,,,,,
