,2020-06-20-2020-06-27,2020-06-27-2020-07-04,2020-07-04-2020-07-11,2020-07-11-2020-07-18,2020-07-18-2020-07-25,2020-07-25-2020-08-01,2020-08-01-2020-08-08,2020-08-08-2020-08-15,2020-08-15-2020-08-22,2020-08-22-2020-08-29,2020-08-29-2020-09-05,2020-09-05-2020-09-12,2020-09-12-2020-09-19,2020-09-19-2020-09-26,2020-09-26-2020-10-03,2020-10-03-2020-10-10,2020-10-10-2020-10-17,2020-10-17-2020-10-24,2020-10-24-2020-10-31,2020-10-31-2020-11-07,2020-11-07-2020-11-14,2020-11-14-2020-11-21,2020-11-21-2020-11-28,2020-11-28-2020-12-05,2020-12-05-2020-12-12,2020-12-12-2020-12-19
Karlen_pypm,,,,,64.41176470588235,40.84313725490196,23.96078431372549,37.6078431372549,33.627450980392155,26.442307692307693,23.865384615384617,22.096153846153847,23.46153846153846,20.46153846153846,15.211538461538462,22.403846153846153,24.71153846153846,25.673076923076923,25.634615384615383,38.55769230769231,23.365384615384617,33.53846153846154,41.63461538461539,44.65384615384615,50.09615384615385,
reich_BPagano_RtDriven,,,,,,,,,,,,,,,,18.596153846153847,26.807692307692307,29.75,31.826923076923077,45.92307692307692,34.86538461538461,34.25,55.17307692307692,42.05769230769231,61.17307692307692,
reich_Caltech_CS156,,,,,,,,,,,,,,,,,,,,38.51851851851852,26.703703703703702,40.51851851851852,29.25925925925926,69.64814814814815,55.53703703703704,
reich_CEID_Walk,,,,,,,,19.857142857142858,20.160714285714285,23.357142857142858,23.0,28.892857142857142,23.178571428571427,23.982142857142858,21.428571428571427,19.196428571428573,21.464285714285715,29.982142857142858,22.375,36.660714285714285,31.928571428571427,52.92857142857143,31.321428571428573,90.48214285714286,55.67857142857143,
reich_CMU_TimeSeries,,,,,30.76923076923077,45.8235294117647,21.764705882352942,25.058823529411764,21.15686274509804,24.725490196078432,19.294117647058822,28.28,23.32,23.36,20.98,20.78,21.307692307692307,32.05882352941177,27.274509803921568,41.05882352941177,37.09615384615385,60.98076923076923,31.442307692307693,86.59615384615384,57.63461538461539,
reich_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,,,25.26,35.92156862745098,45.54,29.470588235294116,53.08,58.8235294117647,52.88235294117647,94.6078431372549,
reich_Covid19Sim_Simulator,,,39.28846153846154,25.076923076923077,29.25,43.75,37.73076923076923,,,37.28846153846154,19.21153846153846,31.192307692307693,22.5,19.98076923076923,19.71153846153846,24.423076923076923,25.26923076923077,27.25,27.5,39.32692307692308,33.46153846153846,,62.38461538461539,52.78846153846154,77.71153846153847,
reich_CovidAnalytics_DELPHI,,,,,,,,,,,,,,,24.470588235294116,24.176470588235293,22.470588235294116,43.666666666666664,32.372549019607845,48.1764705882353,51.470588235294116,68.96078431372548,62.78431372549019,87.62745098039215,92.27450980392157,
reich_COVIDhub_baseline,,,35.17857142857143,35.57142857142857,30.035714285714285,41.57142857142857,23.303571428571427,20.535714285714285,22.107142857142858,23.178571428571427,23.5,28.964285714285715,21.535714285714285,23.553571428571427,20.232142857142858,19.464285714285715,21.428571428571427,30.125,22.142857142857142,36.80357142857143,31.214285714285715,53.142857142857146,32.07142857142857,89.44642857142857,55.767857142857146,
reich_COVIDhub_ensemble,,,,,26.454545454545453,39.89090909090909,19.160714285714285,19.321428571428573,15.196428571428571,15.553571428571429,13.803571428571429,20.767857142857142,19.375,16.660714285714285,13.285714285714286,18.392857142857142,18.571428571428573,25.285714285714285,20.839285714285715,34.94642857142857,26.160714285714285,40.32142857142857,31.892857142857142,64.375,51.57142857142857,
