,2020-06-20-2020-06-27,2020-06-27-2020-07-04,2020-07-04-2020-07-11,2020-07-11-2020-07-18,2020-07-18-2020-07-25,2020-07-25-2020-08-01,2020-08-01-2020-08-08,2020-08-08-2020-08-15,2020-08-15-2020-08-22,2020-08-22-2020-08-29,2020-08-29-2020-09-05,2020-09-05-2020-09-12,2020-09-12-2020-09-19,2020-09-19-2020-09-26,2020-09-26-2020-10-03,2020-10-03-2020-10-10,2020-10-10-2020-10-17,2020-10-17-2020-10-24,2020-10-24-2020-10-31,2020-10-31-2020-11-07,2020-11-07-2020-11-14,2020-11-14-2020-11-21,2020-11-21-2020-11-28,2020-11-28-2020-12-05,2020-12-05-2020-12-12,2020-12-12-2020-12-19,2020-12-19-2020-12-26,2020-12-26-2021-01-02,2021-01-02-2021-01-09,2021-01-09-2021-01-16,2021-01-16-2021-01-23,2021-01-23-2021-01-30
ensemble_SIkJa_RF,,,,,,,41.52000000000001,108.25,9.199999999999989,12.150000000000006,24.49000000000001,34.66,45.69199999999999,59.14,64.45,59.66,90.53999999999999,134.73,98.69,190.47000000000003,261.98,92.80999999999995,399.59,141.4000000000001,227.79999999999995,214.70000000000005,191.91999999999996,256.67999999999995,38.0,430.0999999999999,260.34000000000003,182.0
Karlen_pypm,,,,,,,,27.0,51.0,9.0,60.0,23.0,10.0,24.0,34.0,38.0,70.0,139.0,115.0,255.0,172.0,59.0,69.0,236.0,719.0,45.0,210.0,201.0,81.0,25.0,71.0,80.0
reich_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1046.0,381.0,987.0
reich_BPagano_RtDriven,,,,,,,,,,,,,,,,,,,1.0,145.0,17.0,190.0,205.0,106.0,249.0,38.0,64.0,200.0,274.0,24.0,46.0,447.0
reich_Caltech_CS156,,,,,,,,,,,,,,,,,,,,,,,485.0,258.0,139.0,157.0,51.0,45.0,108.0,57.0,65.0,35.0
reich_CEID_Walk,,,,,,,,,,,74.0,58.0,5.0,5.0,41.0,38.0,97.0,134.0,106.0,243.0,367.0,561.0,634.0,748.0,588.0,252.0,12.0,205.0,,,326.0,408.0
reich_CMU_TimeSeries,,,,,,,,31.0,34.0,17.0,48.0,49.0,10.0,8.0,9.0,78.0,99.0,191.0,143.0,249.0,315.0,494.0,495.0,383.0,192.0,467.0,189.0,421.0,488.0,195.0,723.0,298.0
reich_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,,,,,,233.0,897.0,785.0,464.0,1663.0,487.0,237.0,666.0,459.0,32.0,176.0,57.0
reich_Covid19Sim_Simulator,,,,,,55.0,66.0,10.0,6.0,27.0,,,16.0,11.0,9.0,66.0,94.0,169.0,146.0,254.0,315.0,392.0,121.0,156.0,,504.0,661.0,172.0,137.0,72.0,302.0,156.0
reich_CovidAnalytics_DELPHI,,,,,,,,,,,,,,,,,,233.0,202.0,344.0,530.0,515.0,533.0,617.0,76.0,397.0,193.0,232.0,345.0,100.0,263.0,11.0
reich_COVIDhub_baseline,,,,,,30.0,215.0,17.0,40.0,23.0,28.0,45.0,1.0,26.0,23.0,56.0,86.0,139.0,98.0,250.0,369.0,565.0,643.0,731.0,615.0,231.0,11.0,185.0,222.0,285.0,273.0,422.0
reich_COVIDhub_ensemble,,,,,,108.0,41.0,27.0,26.0,4.0,31.0,26.0,10.0,21.0,26.0,50.0,93.0,148.0,136.0,249.0,347.0,494.0,487.0,555.0,249.0,79.0,11.0,62.0,110.0,68.0,141.0,99.0
reich_CU_nochange,,,,,,,,,,,,,,,,,,,78.0,121.0,147.0,340.0,262.0,396.0,310.0,384.0,323.0,155.0,82.0,127.0,218.0,63.0
reich_CU_scenario_high,,,,,,,,,,,,,,,,,,,55.0,106.0,115.0,316.0,197.0,422.0,303.0,367.0,324.0,125.0,114.0,148.0,215.0,121.0
reich_CU_scenario_low,,,,,,,,,,,,,,,,,,,117.0,195.0,238.0,435.0,369.0,394.0,232.0,308.0,285.0,182.0,142.0,184.0,208.0,67.0
