,2020-06-20-2020-06-27,2020-06-27-2020-07-04,2020-07-04-2020-07-11,2020-07-11-2020-07-18,2020-07-18-2020-07-25,2020-07-25-2020-08-01,2020-08-01-2020-08-08,2020-08-08-2020-08-15,2020-08-15-2020-08-22,2020-08-22-2020-08-29,2020-08-29-2020-09-05,2020-09-05-2020-09-12,2020-09-12-2020-09-19,2020-09-19-2020-09-26,2020-09-26-2020-10-03,2020-10-03-2020-10-10,2020-10-10-2020-10-17,2020-10-17-2020-10-24,2020-10-24-2020-10-31,2020-10-31-2020-11-07,2020-11-07-2020-11-14,2020-11-14-2020-11-21,2020-11-21-2020-11-28,2020-11-28-2020-12-05,2020-12-05-2020-12-12,2020-12-12-2020-12-19,2020-12-19-2020-12-26,2020-12-26-2021-01-02,2021-01-02-2021-01-09,2021-01-09-2021-01-16,2021-01-16-2021-01-23,2021-01-23-2021-01-30
ensemble_SIkJa_RF,,,,4.7059999999999995,4.609000000000002,4.408000000000001,7.088000000000001,4.372,15.945999999999998,23.33,27.124000000000002,37.287,5.253,39.831999999999994,12.968000000000004,13.619999999999997,33.28399999999999,2.3059999999999974,4.347999999999999,7.610999999999997,16.192999999999998,24.540000000000006,19.587000000000003,12.176000000000002,14.646,20.614999999999995,11.780000000000001,5.790000000000006,18.450000000000003,4.974999999999994,31.521,51.58
Karlen_pypm,,,,,,,,,,19.0,20.0,32.0,33.0,14.0,25.0,17.0,16.0,5.0,3.0,7.0,21.0,36.0,13.0,4.0,32.0,31.0,14.0,9.0,8.0,19.0,31.0,18.0
reich_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,18.0,2.0,3.0,,40.0
reich_BPagano_RtDriven,,,,,,,,,,,,,,,,6.0,21.0,4.0,6.0,2.0,15.0,22.0,27.0,2.0,22.0,4.0,12.0,9.0,26.0,23.0,18.0,10.0
reich_Caltech_CS156,,,,,,,,,,,,,,,,,,,,39.0,59.0,91.0,71.0,41.0,18.0,11.0,24.0,27.0,22.0,19.0,,
reich_CEID_Walk,,,,,,,,5.0,5.0,5.0,7.0,37.0,1.0,33.0,1.0,17.0,15.0,2.0,6.0,12.0,21.0,34.0,17.0,31.0,22.0,3.0,16.0,5.0,1.0,2.0,19.0,14.0
reich_CMU_TimeSeries,,,,,13.0,,,,,,11.0,36.0,2.0,30.0,0.0,8.0,14.0,,,,16.0,40.0,7.0,15.0,24.0,4.0,8.0,3.0,1.0,4.0,,15.0
reich_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,5.0,,2.0,5.0
reich_Covid19Sim_Simulator,,,4.0,1.0,9.0,3.0,16.0,,,0.0,4.0,41.0,12.0,36.0,41.0,7.0,11.0,2.0,1.0,9.0,17.0,,3.0,3.0,28.0,41.0,20.0,8.0,2.0,4.0,,22.0
reich_CovidAnalytics_DELPHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_COVIDhub_baseline,,,9.0,1.0,12.0,1.0,25.0,6.0,3.0,5.0,11.0,35.0,1.0,33.0,2.0,8.0,14.0,0.0,5.0,12.0,19.0,32.0,20.0,31.0,21.0,5.0,14.0,4.0,4.0,3.0,,
reich_COVIDhub_ensemble,,,11.0,4.0,13.0,5.0,19.0,5.0,5.0,5.0,8.0,36.0,17.0,30.0,6.0,3.0,7.0,1.0,6.0,9.0,20.0,34.0,18.0,26.0,16.0,9.0,3.0,1.0,1.0,2.0,,15.0
reich_CU_nochange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_CU_scenario_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_CU_scenario_low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_CU_scenario_mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_CU_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_DDS_NBDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_epiforecasts_ensemble1,,,,,,,,,,,,,,,,2.0,7.0,0.0,4.0,,21.0,33.0,58.0,26.0,8.0,9.0,,,11.0,7.0,19.0,23.0
reich_Geneva_DetGrowth,,,,,,,,,,,,,,,,5.0,12.0,28.0,2.0,13.0,5.0,18.0,46.0,28.0,67.0,19.0,38.0,13.0,31.0,27.0,55.0,12.0
reich_Google_Harvard_CPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_GT_DeepCOVID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_IHME_CurveFit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_IowaStateLW_STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_IQVIA_ACOE_STAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_JCB_PRM,,,,,,6.0,17.0,10.0,8.0,16.0,19.0,18.0,25.0,11.0,7.0,8.0,17.0,9.0,1.0,17.0,34.0,43.0,4.0,14.0,27.0,29.0,8.0,8.0,,,,
reich_JHU_CSSE_DECOM,,,,,,,,,,,,,,,,,,,,,,,,,9.0,12.0,3.0,5.0,,3.0,,13.0
reich_JHU_IDD_CovidSP,,,7.0,2.0,18.0,17.0,41.0,44.0,38.0,39.0,15.0,39.0,31.0,11.0,5.0,12.0,2.0,1.0,3.0,23.0,38.0,15.0,17.0,5.0,1.0,63.0,108.0,95.0,84.0,106.0,,98.0
reich_JHU_UNC_GAS_StatMechPool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_JHUAPL_Bucky,,,,,,,,,,,7.0,49.0,23.0,23.0,39.0,31.0,4.0,2.0,2.0,1.0,5.0,50.0,68.0,96.0,80.0,74.0,89.0,94.0,90.0,87.0,,52.0
reich_LANL_GrowthRate,,,11.0,8.0,10.0,8.0,22.0,12.0,15.0,8.0,3.0,43.0,23.0,67.0,19.0,24.0,12.0,1.0,23.0,10.0,17.0,26.0,28.0,28.0,2.0,14.0,22.0,,9.0,17.0,,13.0
reich_LNQ_ens1,,,,,12.0,8.0,20.0,13.0,2.0,5.0,3.0,33.0,31.0,14.0,4.0,3.0,1.0,4.0,16.0,4.0,17.0,37.0,5.0,25.0,8.0,7.0,21.0,18.0,24.0,10.0,,2.0
reich_Microsoft_DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_MIT_CritData_GBCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_MIT_ISOLAT_Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_MITCovAlliance_SIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_MOBS_GLEAM_COVID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_MSRA_DeepST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_NotreDame_mobility,,,,,,,,,,,,,,,,47.0,13.0,17.0,28.0,40.0,59.0,91.0,71.0,85.0,79.0,63.0,,,,,,
reich_OliverWyman_Navigator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_PSI_DRAFT,,,12.0,6.0,9.0,9.0,1.0,16.0,37.0,45.0,61.0,36.0,25.0,22.0,17.0,3.0,1.0,3.0,8.0,1.0,20.0,43.0,19.0,45.0,33.0,59.0,30.0,38.0,8.0,32.0,8.0,21.0
reich_RobertWalraven_ESG,,,12.0,8.0,,,,,,,2.0,32.0,32.0,2.0,23.0,1.0,14.0,0.0,25.0,1.0,36.0,36.0,72.0,100.0,39.0,20.0,9.0,10.0,1.0,2.0,4.0,16.0
reich_RPI_UW_Mob_Collision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_SteveMcConnell_CovidComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_TTU_squider,,,,,,,,,,,,,,,,12.0,24.0,25.0,45.0,6.0,6.0,38.0,4.0,23.0,34.0,54.0,45.0,49.0,48.0,54.0,56.0,72.0
reich_UA_EpiCovDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
