,2020-06-20-2020-06-27,2020-06-27-2020-07-04,2020-07-04-2020-07-11,2020-07-11-2020-07-18,2020-07-18-2020-07-25,2020-07-25-2020-08-01,2020-08-01-2020-08-08,2020-08-08-2020-08-15,2020-08-15-2020-08-22,2020-08-22-2020-08-29,2020-08-29-2020-09-05,2020-09-05-2020-09-12,2020-09-12-2020-09-19,2020-09-19-2020-09-26,2020-09-26-2020-10-03,2020-10-03-2020-10-10,2020-10-10-2020-10-17,2020-10-17-2020-10-24,2020-10-24-2020-10-31,2020-10-31-2020-11-07,2020-11-07-2020-11-14,2020-11-14-2020-11-21,2020-11-21-2020-11-28,2020-11-28-2020-12-05,2020-12-05-2020-12-12,2020-12-12-2020-12-19,2020-12-19-2020-12-26,2020-12-26-2021-01-02,2021-01-02-2021-01-09,2021-01-09-2021-01-16,2021-01-16-2021-01-23,2021-01-23-2021-01-30
ensemble_SIkJa_RF,,,,,0.43954,0.0394,0.08276599999999999,0.09462,1.931451,2.933103,3.9554,2.4869000000000003,4.8968,3.5770999999999997,3.6997999999999998,1.8365,0.45169999999999977,1.4329999999999998,0.8127999999999993,4.0248,4.961499999999999,3.6456999999999997,2.3937999999999997,4.6081,2.1498,2.2916,0.8816999999999999,0.5704,0.9523999999999999,1.2025000000000001,1.1795,0.4877
Karlen_pypm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.0,1.0,2.0,
reich_BPagano_RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_Caltech_CS156,,,,,,,,,,,,,,,,,,,,,0.0,7.0,6.0,4.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,
reich_CEID_Walk,,,,,,,,,2.0,3.0,5.0,6.0,6.0,1.0,2.0,0.0,4.0,1.0,3.0,4.0,6.0,2.0,4.0,9.0,6.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0
reich_CMU_TimeSeries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,,0.0
reich_Covid19Sim_Simulator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_CovidAnalytics_DELPHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_COVIDhub_baseline,,,,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,6.0,5.0,1.0,1.0,1.0,5.0,1.0,3.0,4.0,6.0,2.0,4.0,10.0,7.0,3.0,0.0,3.0,0.0,0.0,1.0,
reich_COVIDhub_ensemble,,,,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,7.0,6.0,4.0,5.0,1.0,2.0,1.0,3.0,4.0,4.0,3.0,4.0,6.0,5.0,2.0,0.0,1.0,1.0,0.0,2.0,
reich_CU_nochange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_CU_scenario_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_CU_scenario_low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_CU_scenario_mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_CU_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_DDS_NBDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_epiforecasts_ensemble1,,,,,,,,,,,,,,,,,5.0,1.0,,,,3.0,,,6.0,,0.0,,,2.0,1.0,0.0
reich_Geneva_DetGrowth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_Google_Harvard_CPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_GT_DeepCOVID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_IHME_CurveFit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_IowaStateLW_STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_IQVIA_ACOE_STAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_JCB_PRM,,,,,,,0.0,0.0,2.0,3.0,5.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,4.0,0.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,,,
