,2020-06-20-2020-06-27,2020-06-27-2020-07-04,2020-07-04-2020-07-11,2020-07-11-2020-07-18,2020-07-18-2020-07-25,2020-07-25-2020-08-01,2020-08-01-2020-08-08,2020-08-08-2020-08-15,2020-08-15-2020-08-22,2020-08-22-2020-08-29,2020-08-29-2020-09-05,2020-09-05-2020-09-12,2020-09-12-2020-09-19,2020-09-19-2020-09-26,2020-09-26-2020-10-03,2020-10-03-2020-10-10,2020-10-10-2020-10-17,2020-10-17-2020-10-24,2020-10-24-2020-10-31,2020-10-31-2020-11-07,2020-11-07-2020-11-14,2020-11-14-2020-11-21,2020-11-21-2020-11-28,2020-11-28-2020-12-05,2020-12-05-2020-12-12,2020-12-12-2020-12-19
Karlen_pypm,,,,,9.0,2.0,3.0,0.0,2.0,1.0,3.0,1.0,2.0,2.0,0.0,10.0,3.0,6.0,5.0,7.0,1.0,7.0,2.0,17.0,7.0,
reich_BPagano_RtDriven,,,,,,,,,,,,,,,,8.0,7.0,7.0,5.0,2.0,4.0,5.0,3.0,17.0,12.0,
reich_Caltech_CS156,,,,,,,,,,,,,,,,,,,,7.0,3.0,5.0,3.0,15.0,5.0,
reich_CEID_Walk,,,,,,,,0.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,11.0,2.0,2.0,4.0,3.0,4.0,0.0,7.0,21.0,5.0,
reich_CMU_TimeSeries,,,,,8.0,6.0,7.0,0.0,2.0,2.0,3.0,3.0,0.0,2.0,2.0,10.0,2.0,4.0,3.0,6.0,4.0,1.0,5.0,25.0,6.0,
reich_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,,,11.0,7.0,8.0,1.0,1.0,1.0,23.0,12.0,
reich_Covid19Sim_Simulator,,,5.0,9.0,2.0,2.0,1.0,,,1.0,2.0,1.0,1.0,1.0,2.0,12.0,9.0,3.0,13.0,13.0,5.0,,3.0,20.0,28.0,
reich_CovidAnalytics_DELPHI,,,,,,,,,,,,,,,3.0,9.0,3.0,5.0,1.0,7.0,3.0,9.0,18.0,5.0,2.0,
reich_COVIDhub_baseline,,,0.0,7.0,8.0,6.0,4.0,1.0,2.0,3.0,3.0,3.0,0.0,2.0,2.0,10.0,2.0,4.0,3.0,4.0,4.0,1.0,6.0,21.0,5.0,
reich_COVIDhub_ensemble,,,,,5.0,2.0,5.0,1.0,2.0,1.0,3.0,0.0,0.0,2.0,1.0,10.0,2.0,4.0,0.0,5.0,0.0,5.0,1.0,17.0,6.0,
reich_CU_nochange,,,,,,,,,,,,,,,,13.0,7.0,1.0,3.0,2.0,0.0,6.0,8.0,15.0,7.0,1.0
reich_CU_scenario_high,,,,,,,,,,,,,,,,13.0,7.0,0.0,3.0,1.0,0.0,5.0,7.0,15.0,6.0,1.0
reich_CU_scenario_low,,,,,,,,,,,,,,,,13.0,6.0,0.0,4.0,1.0,1.0,6.0,6.0,15.0,6.0,1.0
reich_CU_scenario_mid,,,,,,,,,,,,,,,,13.0,7.0,1.0,3.0,1.0,1.0,6.0,9.0,15.0,6.0,0.0
reich_CU_select,,,5.0,2.0,13.0,0.0,4.0,2.0,6.0,3.0,0.0,3.0,2.0,1.0,3.0,13.0,7.0,1.0,3.0,1.0,1.0,6.0,6.0,15.0,6.0,1.0
reich_DDS_NBDS,,,,,,1.0,5.0,3.0,1.0,1.0,4.0,1.0,1.0,2.0,0.0,9.0,3.0,3.0,0.0,9.0,4.0,7.0,6.0,17.0,7.0,
reich_epiforecasts_ensemble1,,,,,,,,,,,,,,,,,1.0,2.0,3.0,5.0,3.0,1.0,6.0,22.0,12.0,
reich_Geneva_DetGrowth,,,,,,,,,,,,,,,,10.0,0.0,7.0,4.0,1.0,10.0,1.0,9.0,28.0,13.0,
reich_Google_Harvard_CPF,,,,,,,,,,,,,,,,10.0,2.0,1.0,1.0,11.0,6.0,9.0,6.0,7.0,8.0,
reich_GT_DeepCOVID,,,,2.0,3.0,8.0,5.0,8.0,1.0,3.0,4.0,0.0,1.0,3.0,4.0,8.0,0.0,5.0,5.0,9.0,5.0,21.0,8.0,6.0,2.0,
reich_IHME_CurveFit,,,4.0,,4.0,0.0,5.0,6.0,,1.0,4.0,0.0,,0.0,0.0,,,2.0,2.0,,,,8.0,,31.0,7.0
reich_IowaStateLW_STEM,,,8.0,2.0,11.0,5.0,1.0,,5.0,2.0,6.0,2.0,1.0,2.0,1.0,9.0,7.0,1.0,1.0,8.0,5.0,10.0,7.0,11.0,7.0,
reich_IQVIA_ACOE_STAN,,,,,,,,,,,,,,,,10.0,2.0,,5.0,4.0,4.0,1.0,6.0,22.0,,
reich_JCB_PRM,,,,,,3.0,5.0,4.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,12.0,7.0,2.0,1.0,7.0,2.0,4.0,2.0,21.0,17.0,
reich_JHU_CSSE_DECOM,,,,,,,,,,,,,,,,10.0,,2.0,2.0,4.0,1.0,4.0,4.0,14.0,7.0,
reich_JHU_IDD_CovidSP,,,6.0,4.0,5.0,1.0,5.0,3.0,1.0,3.0,6.0,3.0,2.0,5.0,3.0,7.0,4.0,0.0,2.0,2.0,3.0,19.0,23.0,0.0,10.0,
reich_JHU_UNC_GAS_StatMechPool,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,
reich_JHUAPL_Bucky,,,,,,,,,,,3.0,2.0,6.0,7.0,3.0,12.0,3.0,13.0,7.0,5.0,3.0,5.0,5.0,15.0,20.0,
reich_LANL_GrowthRate,,,4.0,4.0,2.0,7.0,6.0,2.0,3.0,1.0,2.0,0.0,0.0,2.0,1.0,9.0,6.0,4.0,4.0,0.0,0.0,6.0,3.0,17.0,5.0,9.0
reich_LNQ_ens1,,,,,8.0,3.0,1.0,4.0,6.0,2.0,0.0,2.0,2.0,1.0,3.0,12.0,6.0,2.0,4.0,0.0,5.0,1.0,2.0,20.0,6.0,
reich_Microsoft_DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
reich_MIT_CritData_GBCF,,,,,,,,,,,,,,,,7.0,4.0,3.0,0.0,5.0,3.0,6.0,6.0,3.0,9.0,
reich_MITCovAlliance_SIR,,,25.0,37.0,2.0,4.0,5.0,,0.0,,,1.0,1.0,3.0,2.0,,,2.0,,,,,,,,
reich_MOBS_GLEAM_COVID,,,11.0,14.0,2.0,6.0,8.0,11.0,2.0,4.0,5.0,3.0,2.0,3.0,2.0,11.0,8.0,4.0,5.0,3.0,6.0,1.0,5.0,20.0,10.0,
reich_MSRA_DeepST,,,,,,,,,,,,,,,,,,5.0,,6.0,1.0,5.0,5.0,16.0,4.0,
reich_NotreDame_mobility,,,,,,,,,,,,,,,,7.0,5.0,0.0,4.0,0.0,1.0,5.0,2.0,17.0,12.0,
reich_OliverWyman_Navigator,,,2.0,4.0,7.0,6.0,4.0,2.0,2.0,2.0,3.0,1.0,0.0,1.0,2.0,8.0,6.0,3.0,3.0,6.0,3.0,4.0,2.0,17.0,1.0,
reich_PSI_DRAFT,,,7.0,14.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0,2.0,12.0,7.0,1.0,2.0,4.0,0.0,5.0,3.0,22.0,23.0,
reich_RobertWalraven_ESG,,,10.0,11.0,13.0,7.0,9.0,2.0,3.0,0.0,1.0,8.0,8.0,1.0,2.0,13.0,27.0,11.0,1.0,2.0,2.0,5.0,4.0,28.0,38.0,
reich_RPI_UW_Mob_Collision,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_SteveMcConnell_CovidComplete,,,,,,,,,,3.0,4.0,1.0,1.0,3.0,1.0,10.0,2.0,7.0,1.0,6.0,0.0,15.0,0.0,7.0,10.0,
