,2020-06-20-2020-06-27,2020-06-27-2020-07-04,2020-07-04-2020-07-11,2020-07-11-2020-07-18,2020-07-18-2020-07-25,2020-07-25-2020-08-01,2020-08-01-2020-08-08,2020-08-08-2020-08-15,2020-08-15-2020-08-22,2020-08-22-2020-08-29,2020-08-29-2020-09-05,2020-09-05-2020-09-12,2020-09-12-2020-09-19,2020-09-19-2020-09-26,2020-09-26-2020-10-03,2020-10-03-2020-10-10,2020-10-10-2020-10-17,2020-10-17-2020-10-24,2020-10-24-2020-10-31,2020-10-31-2020-11-07,2020-11-07-2020-11-14,2020-11-14-2020-11-21,2020-11-21-2020-11-28,2020-11-28-2020-12-05,2020-12-05-2020-12-12,2020-12-12-2020-12-19
Karlen_pypm,,,,,16.0,28.0,6.0,43.0,23.0,8.0,15.0,20.0,16.0,48.0,16.0,23.0,44.0,31.0,48.0,29.0,22.0,150.0,128.0,228.0,80.0,
reich_BPagano_RtDriven,,,,,,,,,,,,,,,,45.0,42.0,50.0,45.0,16.0,12.0,156.0,220.0,224.0,56.0,
reich_Caltech_CS156,,,,,,,,,,,,,,,,,,,,10.0,17.0,221.0,12.0,399.0,307.0,
reich_CEID_Walk,,,,,,,,48.0,31.0,5.0,7.0,8.0,33.0,33.0,42.0,51.0,21.0,75.0,36.0,22.0,55.0,263.0,48.0,488.0,201.0,
reich_CMU_TimeSeries,,,,,5.0,13.0,12.0,49.0,26.0,7.0,4.0,16.0,35.0,35.0,41.0,47.0,23.0,12.0,4.0,29.0,59.0,273.0,13.0,424.0,223.0,
reich_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,,,15.0,44.0,34.0,15.0,176.0,186.0,81.0,304.0,
reich_Covid19Sim_Simulator,,,0.0,16.0,12.0,19.0,9.0,,,28.0,29.0,0.0,31.0,56.0,46.0,2.0,20.0,52.0,29.0,25.0,2.0,,5.0,163.0,427.0,
reich_CovidAnalytics_DELPHI,,,,,,,,,,,,,,,25.0,54.0,25.0,74.0,6.0,41.0,68.0,177.0,38.0,289.0,243.0,
reich_COVIDhub_baseline,,,2.0,30.0,9.0,14.0,4.0,50.0,37.0,3.0,7.0,15.0,32.0,32.0,46.0,47.0,26.0,76.0,30.0,37.0,50.0,272.0,64.0,498.0,223.0,
reich_COVIDhub_ensemble,,,,,4.0,21.0,8.0,47.0,6.0,3.0,4.0,16.0,23.0,34.0,32.0,35.0,19.0,64.0,22.0,18.0,42.0,222.0,76.0,347.0,244.0,
reich_CU_nochange,,,,,,,,,,,,,,,,45.0,28.0,32.0,36.0,61.0,87.0,194.0,28.0,406.0,436.0,450.0
reich_CU_scenario_high,,,,,,,,,,,,,,,,46.0,29.0,31.0,32.0,61.0,87.0,190.0,29.0,406.0,438.0,449.0
reich_CU_scenario_low,,,,,,,,,,,,,,,,45.0,29.0,32.0,35.0,58.0,85.0,191.0,26.0,406.0,445.0,447.0
reich_CU_scenario_mid,,,,,,,,,,,,,,,,45.0,31.0,32.0,34.0,57.0,87.0,195.0,27.0,404.0,441.0,453.0
reich_CU_select,,,19.0,6.0,17.0,48.0,52.0,36.0,16.0,12.0,8.0,27.0,15.0,46.0,23.0,45.0,31.0,32.0,34.0,57.0,87.0,191.0,26.0,406.0,445.0,447.0
reich_DDS_NBDS,,,,,,3.0,4.0,48.0,25.0,1.0,5.0,5.0,25.0,12.0,23.0,22.0,27.0,4.0,56.0,32.0,48.0,211.0,67.0,444.0,319.0,
reich_epiforecasts_ensemble1,,,,,,,,,,,,,,,,43.0,7.0,75.0,3.0,51.0,61.0,260.0,330.0,453.0,337.0,
reich_Geneva_DetGrowth,,,,,,,,,,,,,,,,45.0,23.0,81.0,24.0,32.0,9.0,292.0,249.0,432.0,54.0,
reich_Google_Harvard_CPF,,,,,,,,,,,,,,,,78.0,21.0,98.0,56.0,33.0,5.0,154.0,128.0,264.0,302.0,
reich_GT_DeepCOVID,,,,24.0,9.0,33.0,41.0,17.0,8.0,34.0,39.0,36.0,2.0,38.0,4.0,44.0,12.0,83.0,8.0,6.0,,,,361.0,196.0,
reich_IHME_CurveFit,,,53.0,,40.0,18.0,42.0,20.0,,49.0,51.0,12.0,,50.0,0.0,,,47.0,10.0,,,,83.0,,310.0,435.0
reich_IowaStateLW_STEM,,,6.0,55.0,19.0,5.0,23.0,,51.0,27.0,37.0,12.0,18.0,48.0,26.0,40.0,4.0,69.0,3.0,1.0,42.0,272.0,281.0,268.0,189.0,
reich_IQVIA_ACOE_STAN,,,,,,,,,,,,,,,,40.0,18.0,,14.0,41.0,58.0,273.0,1.0,504.0,,
reich_JCB_PRM,,,,,,2.0,6.0,29.0,17.0,7.0,6.0,23.0,13.0,45.0,12.0,30.0,27.0,49.0,21.0,15.0,9.0,248.0,60.0,346.0,287.0,
reich_JHU_CSSE_DECOM,,,,,,,,,,,,,,,,15.0,,65.0,14.0,38.0,43.0,259.0,213.0,459.0,382.0,
reich_JHU_IDD_CovidSP,,,57.0,29.0,36.0,54.0,73.0,20.0,72.0,58.0,66.0,76.0,21.0,7.0,55.0,2.0,6.0,61.0,18.0,75.0,116.0,104.0,63.0,329.0,442.0,
reich_JHU_UNC_GAS_StatMechPool,,,,,,,,,,,,,,,,,,,10.0,36.0,,,,,,
reich_JHUAPL_Bucky,,,,,,,,,,,7.0,121.0,81.0,35.0,63.0,33.0,45.0,20.0,54.0,16.0,27.0,174.0,85.0,105.0,191.0,
reich_LANL_GrowthRate,,,26.0,19.0,2.0,10.0,24.0,84.0,35.0,28.0,12.0,8.0,55.0,56.0,5.0,21.0,6.0,66.0,33.0,21.0,50.0,204.0,305.0,316.0,78.0,346.0
reich_LNQ_ens1,,,,,6.0,2.0,1.0,66.0,15.0,1.0,21.0,0.0,48.0,23.0,11.0,36.0,9.0,50.0,25.0,31.0,42.0,205.0,165.0,403.0,225.0,
reich_Microsoft_DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,,,184.0,
reich_MIT_CritData_GBCF,,,,,,,,,,,,,,,,36.0,10.0,64.0,36.0,40.0,73.0,303.0,76.0,373.0,396.0,
reich_MITCovAlliance_SIR,,,49.0,22.0,67.0,58.0,36.0,,0.0,,,1.0,28.0,61.0,69.0,,,42.0,,,,,,,,
reich_MOBS_GLEAM_COVID,,,4.0,4.0,234.0,177.0,13.0,76.0,27.0,11.0,27.0,48.0,15.0,19.0,91.0,73.0,9.0,70.0,38.0,8.0,15.0,254.0,48.0,382.0,242.0,
reich_MSRA_DeepST,,,,,,,,,,,,,,,,,,67.0,,26.0,42.0,216.0,84.0,402.0,184.0,
reich_NotreDame_mobility,,,,,,,,,,,,,,,,37.0,74.0,10.0,52.0,47.0,15.0,141.0,39.0,352.0,378.0,
reich_OliverWyman_Navigator,,,10.0,37.0,7.0,7.0,8.0,74.0,14.0,10.0,1.0,22.0,29.0,15.0,21.0,31.0,37.0,37.0,37.0,15.0,9.0,238.0,71.0,282.0,280.0,
reich_PSI_DRAFT,,,11.0,90.0,11.0,29.0,11.0,7.0,61.0,19.0,73.0,133.0,59.0,64.0,41.0,83.0,56.0,84.0,57.0,41.0,121.0,211.0,128.0,648.0,700.0,
reich_RobertWalraven_ESG,,,123.0,52.0,10.0,20.0,28.0,25.0,18.0,39.0,30.0,39.0,68.0,12.0,38.0,64.0,32.0,72.0,58.0,66.0,33.0,276.0,348.0,148.0,211.0,
reich_RPI_UW_Mob_Collision,,,,,,,,38.0,16.0,38.0,29.0,4.0,22.0,64.0,11.0,30.0,25.0,75.0,26.0,34.0,92.0,327.0,142.0,288.0,160.0,
reich_SteveMcConnell_CovidComplete,,,,,,,,,,38.0,4.0,8.0,20.0,39.0,50.0,30.0,14.0,36.0,26.0,0.0,7.0,288.0,135.0,228.0,337.0,
reich_TTU_squider,,,,,,,,,,,,,,,,4.0,24.0,51.0,22.0,51.0,45.0,239.0,8.0,370.0,270.0,
