,2020-06-20-2020-06-27,2020-06-27-2020-07-04,2020-07-04-2020-07-11,2020-07-11-2020-07-18,2020-07-18-2020-07-25,2020-07-25-2020-08-01,2020-08-01-2020-08-08,2020-08-08-2020-08-15,2020-08-15-2020-08-22,2020-08-22-2020-08-29,2020-08-29-2020-09-05,2020-09-05-2020-09-12,2020-09-12-2020-09-19,2020-09-19-2020-09-26,2020-09-26-2020-10-03,2020-10-03-2020-10-10,2020-10-10-2020-10-17,2020-10-17-2020-10-24,2020-10-24-2020-10-31,2020-10-31-2020-11-07,2020-11-07-2020-11-14,2020-11-14-2020-11-21,2020-11-21-2020-11-28,2020-11-28-2020-12-05,2020-12-05-2020-12-12,2020-12-12-2020-12-19
Karlen_pypm,,,,,7.0,2.0,4.0,12.0,8.0,4.0,2.0,5.0,8.0,1.0,9.0,4.0,1.0,15.0,35.0,3.0,26.0,9.0,28.0,25.0,9.0,
reich_BPagano_RtDriven,,,,,,,,,,,,,,,,11.0,4.0,11.0,14.0,0.0,3.0,20.0,27.0,28.0,27.0,
reich_Caltech_CS156,,,,,,,,,,,,,,,,,,,,10.0,3.0,23.0,0.0,2.0,26.0,
reich_CEID_Walk,,,,,,,,6.0,1.0,7.0,2.0,5.0,6.0,8.0,1.0,10.0,7.0,27.0,25.0,14.0,2.0,21.0,19.0,7.0,16.0,
reich_CMU_TimeSeries,,,,,1.0,7.0,2.0,3.0,3.0,7.0,2.0,5.0,7.0,7.0,0.0,7.0,7.0,22.0,49.0,10.0,12.0,25.0,21.0,25.0,15.0,
reich_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,,,18.0,31.0,3.0,16.0,0.0,31.0,39.0,20.0,
reich_Covid19Sim_Simulator,,,4.0,5.0,3.0,7.0,5.0,,,5.0,1.0,2.0,4.0,7.0,11.0,1.0,10.0,34.0,33.0,8.0,35.0,,43.0,43.0,1.0,
reich_CovidAnalytics_DELPHI,,,,,,,,,,,,,,,7.0,7.0,9.0,31.0,45.0,24.0,2.0,15.0,20.0,10.0,17.0,
reich_COVIDhub_baseline,,,5.0,2.0,1.0,6.0,1.0,7.0,1.0,6.0,2.0,5.0,6.0,8.0,0.0,8.0,7.0,25.0,26.0,11.0,1.0,17.0,17.0,4.0,17.0,
reich_COVIDhub_ensemble,,,,,2.0,6.0,1.0,7.0,3.0,6.0,1.0,5.0,9.0,4.0,2.0,6.0,7.0,25.0,34.0,5.0,16.0,9.0,22.0,23.0,15.0,
reich_CU_nochange,,,,,,,,,,,,,,,,9.0,8.0,31.0,47.0,30.0,21.0,18.0,18.0,24.0,4.0,22.0
reich_CU_scenario_high,,,,,,,,,,,,,,,,9.0,5.0,32.0,47.0,29.0,20.0,18.0,18.0,23.0,4.0,23.0
reich_CU_scenario_low,,,,,,,,,,,,,,,,9.0,7.0,32.0,48.0,29.0,22.0,21.0,18.0,23.0,3.0,21.0
reich_CU_scenario_mid,,,,,,,,,,,,,,,,12.0,6.0,31.0,50.0,29.0,22.0,18.0,18.0,23.0,4.0,24.0
reich_CU_select,,,6.0,1.0,9.0,15.0,14.0,5.0,5.0,14.0,12.0,17.0,23.0,14.0,12.0,12.0,6.0,31.0,50.0,29.0,22.0,21.0,18.0,23.0,3.0,21.0
reich_DDS_NBDS,,,,,,2.0,6.0,14.0,1.0,4.0,2.0,2.0,8.0,6.0,3.0,8.0,9.0,28.0,45.0,17.0,26.0,33.0,10.0,19.0,20.0,
reich_epiforecasts_ensemble1,,,,,,,,,,,,,,,,8.0,10.0,26.0,22.0,16.0,4.0,12.0,21.0,9.0,,
reich_Geneva_DetGrowth,,,,,,,,,,,,,,,,6.0,15.0,20.0,24.0,33.0,43.0,65.0,32.0,50.0,6.0,
reich_Google_Harvard_CPF,,,,,,,,,,,,,,,,1.0,8.0,21.0,26.0,4.0,32.0,22.0,31.0,16.0,16.0,
reich_GT_DeepCOVID,,,,4.0,0.0,7.0,2.0,6.0,3.0,5.0,4.0,6.0,11.0,3.0,7.0,9.0,6.0,25.0,27.0,2.0,10.0,15.0,47.0,7.0,10.0,
reich_IHME_CurveFit,,,6.0,,5.0,11.0,7.0,5.0,,6.0,7.0,7.0,,4.0,3.0,,,30.0,34.0,,,,38.0,,68.0,5.0
reich_IowaStateLW_STEM,,,5.0,7.0,5.0,13.0,4.0,,1.0,4.0,1.0,1.0,11.0,2.0,0.0,8.0,9.0,23.0,46.0,11.0,22.0,8.0,39.0,32.0,9.0,
reich_IQVIA_ACOE_STAN,,,,,,,,,,,,,,,,9.0,7.0,,21.0,7.0,17.0,3.0,35.0,17.0,,
reich_JCB_PRM,,,,,,8.0,1.0,9.0,3.0,4.0,2.0,6.0,10.0,2.0,2.0,1.0,5.0,24.0,29.0,0.0,31.0,5.0,36.0,41.0,4.0,
reich_JHU_CSSE_DECOM,,,,,,,,,,,,,,,,4.0,,11.0,36.0,11.0,6.0,2.0,42.0,25.0,0.0,
reich_JHU_IDD_CovidSP,,,0.0,2.0,0.0,1.0,6.0,17.0,15.0,6.0,8.0,2.0,4.0,2.0,3.0,3.0,10.0,37.0,64.0,52.0,52.0,10.0,1.0,0.0,20.0,
reich_JHU_UNC_GAS_StatMechPool,,,,,,,,,,,,,,,,,,,45.0,3.0,,,,,,
reich_JHUAPL_Bucky,,,,,,,,,,,7.0,4.0,15.0,6.0,6.0,26.0,11.0,10.0,26.0,19.0,6.0,25.0,9.0,2.0,4.0,
reich_LANL_GrowthRate,,,4.0,5.0,5.0,9.0,6.0,1.0,0.0,9.0,4.0,7.0,14.0,2.0,4.0,7.0,9.0,33.0,43.0,10.0,50.0,10.0,25.0,21.0,18.0,13.0
reich_LNQ_ens1,,,,,5.0,10.0,6.0,1.0,2.0,11.0,6.0,8.0,12.0,0.0,2.0,7.0,10.0,26.0,34.0,4.0,12.0,21.0,8.0,13.0,24.0,
reich_Microsoft_DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
reich_MIT_CritData_GBCF,,,,,,,,,,,,,,,,9.0,2.0,19.0,31.0,9.0,9.0,3.0,31.0,36.0,8.0,
reich_MITCovAlliance_SIR,,,6.0,7.0,2.0,6.0,1.0,,10.0,,,5.0,7.0,6.0,13.0,,,33.0,,,,,,,,
reich_MOBS_GLEAM_COVID,,,5.0,3.0,0.0,3.0,4.0,13.0,2.0,4.0,1.0,4.0,7.0,6.0,1.0,2.0,3.0,17.0,17.0,30.0,26.0,7.0,30.0,19.0,6.0,
reich_MSRA_DeepST,,,,,,,,,,,,,,,,,,16.0,,1.0,11.0,11.0,20.0,17.0,2.0,
reich_NotreDame_mobility,,,,,,,,,,,,,,,,4.0,14.0,28.0,44.0,24.0,4.0,60.0,5.0,56.0,36.0,
reich_OliverWyman_Navigator,,,5.0,1.0,1.0,6.0,1.0,6.0,0.0,6.0,1.0,2.0,6.0,11.0,7.0,5.0,0.0,17.0,20.0,1.0,24.0,6.0,29.0,45.0,29.0,
reich_PSI_DRAFT,,,6.0,6.0,6.0,0.0,8.0,10.0,6.0,11.0,5.0,9.0,11.0,0.0,4.0,8.0,8.0,32.0,51.0,6.0,2.0,9.0,1.0,25.0,13.0,
