,2020-06-20-2020-06-27,2020-06-27-2020-07-04,2020-07-04-2020-07-11,2020-07-11-2020-07-18,2020-07-18-2020-07-25,2020-07-25-2020-08-01,2020-08-01-2020-08-08,2020-08-08-2020-08-15,2020-08-15-2020-08-22,2020-08-22-2020-08-29,2020-08-29-2020-09-05,2020-09-05-2020-09-12,2020-09-12-2020-09-19,2020-09-19-2020-09-26,2020-09-26-2020-10-03,2020-10-03-2020-10-10,2020-10-10-2020-10-17,2020-10-17-2020-10-24,2020-10-24-2020-10-31,2020-10-31-2020-11-07,2020-11-07-2020-11-14,2020-11-14-2020-11-21,2020-11-21-2020-11-28,2020-11-28-2020-12-05,2020-12-05-2020-12-12,2020-12-12-2020-12-19,2020-12-19-2020-12-26,2020-12-26-2021-01-02,2021-01-02-2021-01-09,2021-01-09-2021-01-16,2021-01-16-2021-01-23,2021-01-23-2021-01-30
ensemble_SIkJa_RF,,,,536.81,360.36,757.9000000000001,45.40000000000009,460.5,331.4000000000001,452.0999999999999,463.79999999999995,255.70000000000005,52.72000000000003,30.769999999999982,28.440000000000055,35.26999999999998,10.669999999999959,23.04000000000002,76.94999999999999,69.64999999999998,137.20000000000005,192.58000000000004,138.20000000000005,64.70000000000005,112.09999999999991,9.099999999999909,542.7,367.0999999999999,175.79999999999995,503.4000000000001,43.69999999999982,120.80000000000018
Karlen_pypm,,,,,188.0,948.0,190.0,138.0,90.0,181.0,171.0,160.0,56.0,2.0,14.0,83.0,93.0,89.0,25.0,80.0,68.0,93.0,242.0,53.0,152.0,18.0,340.0,192.0,356.0,353.0,292.0,221.0
reich_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,541.0,307.0,61.0,118.0,,319.0
reich_BPagano_RtDriven,,,,,,,,,,,,,,,,59.0,180.0,37.0,159.0,261.0,41.0,1.0,267.0,56.0,81.0,53.0,327.0,176.0,314.0,533.0,361.0,285.0
reich_Caltech_CS156,,,,,,,,,,,,,,,,,,,,225.0,209.0,258.0,43.0,335.0,26.0,86.0,248.0,108.0,618.0,768.0,,
reich_CEID_Walk,,,,,,,,240.0,3.0,231.0,169.0,242.0,82.0,36.0,69.0,25.0,125.0,13.0,95.0,166.0,121.0,208.0,115.0,325.0,106.0,185.0,267.0,168.0,408.0,257.0,220.0,83.0
reich_CMU_TimeSeries,,,,,371.0,876.0,112.0,332.0,73.0,208.0,129.0,180.0,55.0,49.0,72.0,59.0,125.0,38.0,92.0,172.0,128.0,232.0,95.0,263.0,103.0,28.0,257.0,4.0,513.0,648.0,,76.0
reich_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,,,0.0,157.0,44.0,105.0,29.0,346.0,14.0,229.0,43.0,298.0,373.0,511.0,,34.0,418.0
reich_Covid19Sim_Simulator,,,301.0,409.0,452.0,1013.0,686.0,,,413.0,219.0,76.0,80.0,55.0,44.0,8.0,109.0,76.0,105.0,166.0,158.0,,186.0,128.0,35.0,126.0,177.0,95.0,401.0,705.0,,234.0
reich_CovidAnalytics_DELPHI,,,,,,,,,,,,,,,10.0,130.0,77.0,104.0,173.0,320.0,415.0,532.0,296.0,574.0,64.0,143.0,2.0,169.0,734.0,798.0,,204.0
reich_COVIDhub_baseline,,,495.0,470.0,375.0,870.0,388.0,267.0,80.0,245.0,143.0,213.0,62.0,55.0,72.0,49.0,133.0,6.0,99.0,151.0,113.0,194.0,111.0,338.0,78.0,86.0,251.0,165.0,449.0,244.0,,
reich_COVIDhub_ensemble,,,466.0,454.0,346.0,883.0,280.0,254.0,129.0,58.0,100.0,116.0,12.0,28.0,54.0,71.0,70.0,16.0,99.0,137.0,99.0,183.0,194.0,253.0,37.0,38.0,315.0,6.0,477.0,398.0,,13.0
reich_CU_nochange,,,,,,,,,,,,,,,,1.0,78.0,126.0,86.0,101.0,51.0,398.0,248.0,579.0,380.0,40.0,844.0,452.0,545.0,649.0,,135.0
reich_CU_scenario_high,,,,,,,,,,,,,,,,3.0,81.0,120.0,91.0,96.0,43.0,398.0,245.0,583.0,381.0,31.0,844.0,447.0,543.0,648.0,,137.0
reich_CU_scenario_low,,,,,,,,,,,,,,,,1.0,75.0,123.0,91.0,91.0,46.0,403.0,248.0,579.0,378.0,33.0,846.0,446.0,544.0,654.0,,136.0
reich_CU_scenario_mid,,,,,,,,,,,,,,,,6.0,74.0,123.0,93.0,100.0,43.0,403.0,244.0,580.0,376.0,38.0,844.0,445.0,546.0,651.0,,137.0
reich_CU_select,,,55.0,366.0,316.0,838.0,369.0,177.0,266.0,102.0,24.0,139.0,190.0,195.0,191.0,6.0,74.0,123.0,93.0,100.0,43.0,403.0,248.0,579.0,378.0,33.0,846.0,445.0,546.0,651.0,,137.0
reich_DDS_NBDS,,,,,,452.0,345.0,1123.0,188.0,107.0,43.0,139.0,19.0,15.0,85.0,247.0,56.0,41.0,121.0,253.0,235.0,386.0,28.0,546.0,28.0,326.0,244.0,332.0,588.0,489.0,,1265.0
reich_epiforecasts_ensemble1,,,,,,,,,,,,,,,,101.0,66.0,45.0,142.0,141.0,53.0,250.0,303.0,286.0,29.0,125.0,,,688.0,452.0,66.0,105.0
reich_Geneva_DetGrowth,,,,,,,,,,,,,,,,89.0,138.0,2.0,121.0,134.0,18.0,27.0,134.0,303.0,239.0,98.0,338.0,181.0,470.0,689.0,110.0,460.0
reich_Google_Harvard_CPF,,,,,,,,,,,,,,,,175.0,32.0,112.0,270.0,113.0,3.0,185.0,47.0,198.0,12.0,109.0,160.0,168.0,533.0,363.0,,127.0
reich_GT_DeepCOVID,,,,439.0,,,,,279.0,226.0,255.0,221.0,29.0,174.0,,48.0,57.0,174.0,89.0,36.0,22.0,59.0,440.0,79.0,224.0,20.0,339.0,48.0,242.0,90.0,,34.0
reich_IHME_CurveFit,,,420.0,,224.0,894.0,178.0,48.0,,302.0,599.0,234.0,,168.0,112.0,,,11.0,154.0,,,,73.0,,6.0,419.0,,,,,362.0,114.0
reich_IowaStateLW_STEM,,,354.0,550.0,317.0,853.0,140.0,,91.0,311.0,195.0,152.0,36.0,196.0,6.0,59.0,48.0,92.0,97.0,125.0,165.0,306.0,395.0,58.0,163.0,230.0,196.0,185.0,379.0,493.0,,99.0
reich_IQVIA_ACOE_STAN,,,,,,,,,,,,,,,,13.0,128.0,,1.0,78.0,71.0,86.0,103.0,348.0,,,,,,,,
reich_JCB_PRM,,,,,,799.0,148.0,109.0,57.0,183.0,221.0,189.0,32.0,19.0,31.0,91.0,30.0,53.0,75.0,138.0,134.0,164.0,188.0,140.0,205.0,31.0,352.0,116.0,,,,
reich_JHU_CSSE_DECOM,,,,,,,,,,,,,,,,142.0,,35.0,117.0,179.0,142.0,199.0,230.0,202.0,234.0,49.0,151.0,13.0,,764.0,,131.0
reich_JHU_IDD_CovidSP,,,205.0,379.0,414.0,1076.0,584.0,173.0,103.0,0.0,112.0,114.0,7.0,35.0,39.0,99.0,62.0,111.0,205.0,348.0,500.0,427.0,259.0,541.0,407.0,475.0,629.0,266.0,132.0,356.0,,381.0
reich_JHU_UNC_GAS_StatMechPool,,,,,,,,,,,,,,,,,,,474.0,500.0,,,,,,,,,,,,
reich_JHUAPL_Bucky,,,,,,,,,,,485.0,60.0,179.0,101.0,226.0,168.0,70.0,106.0,26.0,90.0,88.0,185.0,166.0,128.0,234.0,40.0,300.0,6.0,0.0,368.0,,452.0
reich_LANL_GrowthRate,,,638.0,626.0,547.0,1366.0,847.0,343.0,134.0,138.0,183.0,142.0,52.0,37.0,119.0,236.0,126.0,19.0,202.0,137.0,89.0,18.0,384.0,372.0,40.0,72.0,320.0,,376.0,376.0,,34.0
reich_LNQ_ens1,,,,,278.0,887.0,215.0,282.0,21.0,15.0,19.0,66.0,48.0,62.0,15.0,156.0,75.0,11.0,64.0,161.0,2.0,14.0,292.0,351.0,140.0,65.0,392.0,225.0,501.0,125.0,,191.0
reich_Microsoft_DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,,,36.0,2.0,323.0,118.0,489.0,336.0,,126.0
reich_MIT_CritData_GBCF,,,,,,,,,,,,,,,,107.0,16.0,14.0,162.0,288.0,312.0,335.0,75.0,200.0,117.0,116.0,199.0,180.0,766.0,491.0,173.0,137.0
reich_MIT_ISOLAT_Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.0,15.0
reich_MITCovAlliance_SIR,,,535.0,774.0,855.0,1531.0,801.0,,806.0,,,337.0,450.0,471.0,164.0,,,5.0,,,,,,,,,,,735.0,1081.0,,
reich_MOBS_GLEAM_COVID,,,467.0,514.0,334.0,1209.0,711.0,244.0,230.0,79.0,71.0,47.0,85.0,54.0,354.0,289.0,141.0,155.0,11.0,26.0,17.0,107.0,230.0,341.0,178.0,37.0,347.0,70.0,228.0,158.0,170.0,111.0
reich_MSRA_DeepST,,,,,,,,,,,,,,,,,,25.0,,149.0,137.0,196.0,154.0,302.0,39.0,,,,,,,
reich_NotreDame_mobility,,,,,,,,,,,,,,,,88.0,44.0,22.0,103.0,196.0,260.0,365.0,307.0,551.0,586.0,1357.0,,,,,,
reich_OliverWyman_Navigator,,,451.0,347.0,266.0,771.0,42.0,180.0,141.0,44.0,21.0,153.0,17.0,14.0,120.0,122.0,160.0,26.0,9.0,87.0,38.0,91.0,295.0,127.0,689.0,69.0,403.0,133.0,332.0,249.0,9.0,51.0
reich_PSI_DRAFT,,,560.0,784.0,233.0,222.0,1462.0,251.0,348.0,7.0,126.0,116.0,34.0,51.0,34.0,168.0,93.0,135.0,246.0,64.0,338.0,140.0,250.0,700.0,177.0,82.0,173.0,105.0,477.0,786.0,630.0,146.0
reich_RobertWalraven_ESG,,,687.0,109.0,1135.0,1237.0,309.0,335.0,463.0,170.0,173.0,108.0,206.0,342.0,304.0,203.0,62.0,39.0,230.0,353.0,133.0,291.0,685.0,693.0,631.0,322.0,466.0,300.0,602.0,103.0,35.0,389.0
reich_RPI_UW_Mob_Collision,,,,,,,,720.0,398.0,271.0,941.0,325.0,203.0,113.0,260.0,80.0,139.0,108.0,6.0,138.0,84.0,243.0,23.0,124.0,87.0,116.0,35.0,138.0,777.0,715.0,137.0,333.0
reich_SteveMcConnell_CovidComplete,,,,,,,,,,382.0,330.0,65.0,80.0,20.0,181.0,70.0,26.0,20.0,101.0,131.0,98.0,102.0,218.0,5.0,50.0,225.0,320.0,212.0,389.0,188.0,165.0,143.0
reich_TTU_squider,,,,,,,,,,,,,,,,625.0,737.0,790.0,136.0,120.0,163.0,323.0,34.0,319.0,104.0,79.0,287.0,154.0,323.0,554.0,742.0,705.0
reich_UA_EpiCovDA,,,,,,,,,,,,,,,,65.0,64.0,55.0,15.0,135.0,100.0,132.0,194.0,588.0,47.0,38.0,170.0,600.0,715.0,56.0,272.0,151.0
reich_UChicagoCHATTOPADHYAY_UnIT,,,,,,,,,,,,,,,,,,,,,134.0,212.0,157.0,462.0,303.0,232.0,351.0,,298.0,152.0,185.0,203.0
reich_UCLA_SuEIR,,,500.0,419.0,443.0,664.0,783.0,234.0,228.0,173.0,100.0,172.0,41.0,37.0,65.0,57.0,113.0,1.0,102.0,118.0,80.0,188.0,134.0,413.0,128.0,161.0,236.0,295.0,453.0,200.0,,14.0
reich_UCSB_ACTS,,,,,,,,,,,,,,,,,,,129.0,266.0,314.0,375.0,142.0,135.0,164.0,,17.0,220.0,528.0,776.0,,93.0
reich_UCSD_NEU_DeepGLEAM,,,,,,,,,,,,135.0,51.0,51.0,357.0,298.0,145.0,152.0,20.0,30.0,15.0,80.0,242.0,338.0,198.0,23.0,378.0,72.0,213.0,118.0,,84.0
reich_UMass_MechBayes,,,452.0,334.0,314.0,989.0,465.0,11.0,129.0,30.0,25.0,51.0,0.0,5.0,34.0,61.0,41.0,102.0,24.0,97.0,72.0,43.0,239.0,243.0,46.0,98.0,276.0,77.0,427.0,280.0,29.0,125.0
reich_UMich_RidgeTfReg,,,,,404.0,,,951.0,,565.0,172.0,75.0,72.0,61.0,120.0,26.0,163.0,87.0,34.0,112.0,,,,,,,240.0,305.0,545.0,446.0,,29.0
reich_USACE_ERDC_SEIR,,,259.0,345.0,686.0,1124.0,381.0,91.0,269.0,80.0,118.0,54.0,4.0,79.0,34.0,,247.0,,2.0,,,51.0,303.0,219.0,,,,,,,,
reich_UT_Mobility,,,453.0,271.0,65.0,397.0,690.0,,298.0,211.0,,,290.0,63.0,68.0,76.0,105.0,47.0,49.0,68.0,45.0,241.0,694.0,137.0,220.0,197.0,719.0,,,390.0,,1169.0
SIkJaun1_hyper7,,,411.0,286.0,248.0,785.0,53.0,160.0,8.0,251.0,161.0,102.0,96.0,88.0,111.0,7.0,120.0,31.0,77.0,98.0,32.0,93.0,195.0,34.0,98.0,29.0,380.0,169.0,583.0,591.0,85.0,358.0
SIkJaun1_hyper7_smooth7,,,351.0,219.0,197.0,664.0,152.0,85.0,94.0,357.0,193.0,166.0,130.0,91.0,245.0,4.0,174.0,135.0,8.0,79.0,10.0,43.0,237.0,69.0,248.0,59.0,442.0,105.0,324.0,585.0,546.0,818.0
SIkJaun1_window_noval,,,411.0,425.0,313.0,785.0,53.0,193.0,126.0,251.0,158.0,102.0,96.0,26.0,111.0,11.0,175.0,31.0,77.0,65.0,58.0,246.0,157.0,173.0,48.0,69.0,380.0,5.0,583.0,662.0,85.0,358.0
SIkJaun10_hyper7,,,411.0,286.0,248.0,785.0,53.0,160.0,8.0,251.0,161.0,102.0,96.0,88.0,111.0,7.0,120.0,31.0,77.0,98.0,32.0,93.0,195.0,34.0,98.0,29.0,380.0,169.0,583.0,591.0,85.0,358.0
