,2020-06-20-2020-06-27,2020-06-27-2020-07-04,2020-07-04-2020-07-11,2020-07-11-2020-07-18,2020-07-18-2020-07-25,2020-07-25-2020-08-01,2020-08-01-2020-08-08,2020-08-08-2020-08-15,2020-08-15-2020-08-22,2020-08-22-2020-08-29,2020-08-29-2020-09-05,2020-09-05-2020-09-12,2020-09-12-2020-09-19,2020-09-19-2020-09-26,2020-09-26-2020-10-03,2020-10-03-2020-10-10,2020-10-10-2020-10-17,2020-10-17-2020-10-24,2020-10-24-2020-10-31,2020-10-31-2020-11-07,2020-11-07-2020-11-14,2020-11-14-2020-11-21,2020-11-21-2020-11-28,2020-11-28-2020-12-05,2020-12-05-2020-12-12,2020-12-12-2020-12-19
Karlen_pypm,,,,,,21.0,1.0,18.0,19.0,13.0,20.0,32.0,22.0,19.0,2.0,7.0,42.0,75.0,15.0,13.0,47.0,15.0,163.0,81.0,160.0,28.0
reich_BPagano_RtDriven,,,,,,,,,,,,,,,,,21.0,49.0,60.0,78.0,97.0,162.0,241.0,228.0,75.0,242.0
reich_Caltech_CS156,,,,,,,,,,,,,,,,,,,,,218.0,179.0,103.0,226.0,208.0,49.0
reich_CEID_Walk,,,,,,,,,2.0,4.0,23.0,49.0,36.0,30.0,16.0,22.0,42.0,88.0,57.0,58.0,250.0,255.0,135.0,358.0,285.0,38.0
reich_CMU_TimeSeries,,,,,,8.0,16.0,21.0,3.0,6.0,28.0,45.0,21.0,33.0,23.0,27.0,45.0,83.0,57.0,70.0,198.0,187.0,175.0,279.0,274.0,112.0
reich_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,,,,4.0,55.0,92.0,80.0,288.0,146.0,276.0,461.0
reich_Covid19Sim_Simulator,,,,16.0,9.0,1.0,5.0,3.0,,,33.0,14.0,22.0,30.0,12.0,26.0,50.0,101.0,60.0,28.0,70.0,24.0,,256.0,345.0,11.0
reich_CovidAnalytics_DELPHI,,,,,,,,,,,,,,,,68.0,79.0,107.0,133.0,87.0,209.0,61.0,208.0,134.0,17.0,140.0
reich_COVIDhub_baseline,,,,14.0,59.0,6.0,27.0,9.0,6.0,9.0,25.0,48.0,36.0,30.0,22.0,20.0,41.0,87.0,56.0,64.0,254.0,253.0,161.0,355.0,282.0,25.0
reich_COVIDhub_ensemble,,,,,34.0,14.0,10.0,9.0,9.0,8.0,28.0,31.0,22.0,12.0,18.0,21.0,47.0,87.0,57.0,58.0,208.0,187.0,45.0,184.0,171.0,58.0
reich_CU_nochange,,,,,,,,,,,,,,,,,8.0,36.0,39.0,7.0,40.0,48.0,0.0,254.0,363.0,345.0
reich_CU_scenario_high,,,,,,,,,,,,,,,,,6.0,34.0,43.0,8.0,37.0,45.0,4.0,258.0,354.0,348.0
reich_CU_scenario_low,,,,,,,,,,,,,,,,,12.0,43.0,34.0,7.0,56.0,50.0,3.0,256.0,359.0,343.0
reich_CU_scenario_mid,,,,,,,,,,,,,,,,,8.0,36.0,43.0,12.0,37.0,53.0,5.0,256.0,353.0,340.0
reich_CU_select,,,,53.0,29.0,17.0,1.0,74.0,2.0,44.0,32.0,16.0,60.0,34.0,27.0,31.0,8.0,36.0,43.0,12.0,37.0,53.0,3.0,256.0,359.0,343.0
reich_DDS_NBDS,,,,,,,19.0,32.0,21.0,62.0,8.0,1.0,6.0,5.0,15.0,24.0,67.0,119.0,84.0,119.0,308.0,253.0,339.0,364.0,431.0,20.0
reich_epiforecasts_ensemble1,,,,,,,,,,,,,,,,,52.0,93.0,68.0,58.0,219.0,215.0,48.0,219.0,247.0,19.0
reich_Geneva_DetGrowth,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_Google_Harvard_CPF,,,,,,,,,,,,,,,,,18.0,86.0,75.0,67.0,136.0,84.0,68.0,131.0,182.0,347.0
reich_GT_DeepCOVID,,,,,124.0,72.0,51.0,14.0,52.0,8.0,22.0,31.0,27.0,1.0,23.0,5.0,,71.0,12.0,64.0,,,89.0,80.0,93.0,115.0
reich_IHME_CurveFit,,,,29.0,,54.0,22.0,19.0,10.0,,9.0,15.0,36.0,,46.0,21.0,,,69.0,45.0,,,,53.0,,146.0
reich_IowaStateLW_STEM,,,,20.0,5.0,24.0,10.0,12.0,,10.0,12.0,19.0,26.0,10.0,46.0,4.0,60.0,113.0,96.0,58.0,224.0,265.0,170.0,166.0,202.0,81.0
reich_IQVIA_ACOE_STAN,,,,,,,,,,,,,,,,,59.0,119.0,,121.0,312.0,345.0,332.0,503.0,500.0,
reich_JCB_PRM,,,,,,,20.0,10.0,4.0,9.0,25.0,28.0,22.0,18.0,4.0,25.0,35.0,59.0,66.0,37.0,141.0,135.0,43.0,134.0,20.0,66.0
reich_JHU_CSSE_DECOM,,,,,,,,,,,,,,,,,17.0,,42.0,81.0,219.0,228.0,90.0,217.0,218.0,6.0
reich_JHU_IDD_CovidSP,,,,134.0,114.0,92.0,68.0,79.0,86.0,101.0,55.0,46.0,96.0,89.0,65.0,43.0,10.0,53.0,38.0,96.0,294.0,362.0,100.0,270.0,289.0,350.0
reich_JHU_UNC_GAS_StatMechPool,,,,,,,,,,,,,,,,,,,,89.0,239.0,,,,,
reich_JHUAPL_Bucky,,,,,,,,,,,,51.0,177.0,126.0,100.0,115.0,14.0,12.0,7.0,84.0,88.0,9.0,93.0,319.0,269.0,182.0
reich_LANL_GrowthRate,,,,33.0,40.0,21.0,6.0,28.0,33.0,16.0,49.0,39.0,25.0,40.0,60.0,63.0,83.0,136.0,120.0,173.0,85.0,165.0,254.0,154.0,121.0,144.0
reich_LNQ_ens1,,,,,,10.0,30.0,22.0,8.0,22.0,28.0,38.0,1.0,5.0,21.0,32.0,48.0,79.0,46.0,48.0,188.0,179.0,67.0,172.0,322.0,60.0
reich_Microsoft_DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,,,,16.0
reich_MIT_CritData_GBCF,,,,,,,,,,,,,,,,,32.0,20.0,4.0,37.0,181.0,198.0,179.0,186.0,164.0,10.0
reich_MITCovAlliance_SIR,,,,196.0,65.0,94.0,79.0,78.0,,85.0,,,3.0,11.0,13.0,23.0,,,47.0,,,,,,,
reich_MOBS_GLEAM_COVID,,,,22.0,12.0,287.0,46.0,56.0,52.0,4.0,64.0,61.0,5.0,33.0,45.0,23.0,5.0,59.0,32.0,15.0,193.0,157.0,37.0,175.0,31.0,53.0
reich_MSRA_DeepST,,,,,,,,,,,,,,,,,,,53.0,,167.0,172.0,102.0,149.0,94.0,58.0
reich_NotreDame_mobility,,,,,,,,,,,,,,,,,87.0,141.0,135.0,197.0,383.0,371.0,417.0,633.0,612.0,588.0
reich_OliverWyman_Navigator,,,,24.0,102.0,16.0,28.0,1.0,1.0,26.0,23.0,52.0,7.0,9.0,2.0,2.0,18.0,56.0,17.0,3.0,183.0,136.0,159.0,190.0,95.0,50.0
reich_PSI_DRAFT,,,,11.0,52.0,39.0,49.0,55.0,49.0,41.0,88.0,22.0,22.0,28.0,3.0,11.0,56.0,129.0,37.0,93.0,316.0,332.0,347.0,537.0,428.0,163.0
reich_RobertWalraven_ESG,,,,44.0,27.0,19.0,13.0,10.0,177.0,8.0,40.0,16.0,36.0,45.0,22.0,62.0,73.0,131.0,63.0,135.0,243.0,149.0,11.0,129.0,403.0,1181.0
reich_RPI_UW_Mob_Collision,,,,,,,,,22.0,1.0,38.0,33.0,2.0,22.0,14.0,53.0,78.0,124.0,117.0,134.0,270.0,337.0,346.0,426.0,227.0,126.0
reich_SteveMcConnell_CovidComplete,,,,,,,,,,,36.0,40.0,21.0,14.0,1.0,10.0,37.0,77.0,50.0,15.0,136.0,95.0,62.0,183.0,171.0,111.0
reich_TTU_squider,,,,,,,,,,,,,,,,,48.0,2.0,14.0,44.0,279.0,326.0,243.0,281.0,597.0,281.0
reich_UA_EpiCovDA,,,,,,,,,,,,,,,,,61.0,119.0,119.0,95.0,288.0,337.0,313.0,546.0,463.0,419.0
reich_UChicagoCHATTOPADHYAY_UnIT,,,,,,,,,,,,,,,,,,,,,,93.0,156.0,270.0,411.0,55.0
reich_UCLA_SuEIR,,,,5.0,40.0,8.0,32.0,1.0,12.0,1.0,42.0,60.0,10.0,0.0,36.0,38.0,63.0,115.0,95.0,127.0,309.0,286.0,190.0,398.0,382.0,0.0
reich_UCSB_ACTS,,,,,,,,,,,,,,,,,,,,136.0,132.0,288.0,183.0,137.0,60.0,13.0
reich_UCSD_NEU_DeepGLEAM,,,,,,,,,,,,,28.0,52.0,40.0,18.0,3.0,56.0,29.0,8.0,190.0,151.0,23.0,161.0,12.0,77.0
reich_UMass_MechBayes,,,,8.0,76.0,32.0,23.0,16.0,10.0,15.0,32.0,12.0,2.0,2.0,20.0,14.0,21.0,59.0,13.0,26.0,147.0,45.0,376.0,20.0,135.0,58.0
reich_UMich_RidgeTfReg,,,,,,16.0,,,24.0,,,,89.0,99.0,84.0,23.0,33.0,90.0,82.0,122.0,294.0,,,,,
reich_USACE_ERDC_SEIR,,,,43.0,59.0,143.0,279.0,290.0,269.0,256.0,201.0,191.0,250.0,240.0,262.0,237.0,,248.0,,459.0,,,1419.0,1993.0,2155.0,
reich_UT_Mobility,,,,25.0,114.0,30.0,18.0,16.0,,87.0,12.0,,,36.0,24.0,41.0,72.0,122.0,76.0,66.0,227.0,279.0,146.0,273.0,259.0,176.0
UMich_RidgeTfReg,,171.0,41.0,88.0,108.0,26.0,2.0,7.0,2.0,10.0,25.0,19.0,33.0,24.0,8.0,23.0,45.0,,,,,,,,,
USC_SI_kJalpha_RF,,,,,,,,,,,,,,,,,,,,,242.0,259.0,,,,
USC_SI_kJalpha,,,,64.0,127.0,106.0,31.0,24.0,10.0,2.0,21.0,40.0,25.0,26.0,35.0,17.0,30.0,66.0,12.0,30.0,156.0,89.0,187.0,106.0,116.0,47.0
YYG_ParamSearch,,,,12.0,39.0,20.0,28.0,2.0,1.0,13.0,30.0,41.0,1.0,6.0,20.0,27.0,42.0,,,,,,,,,
