,2020-06-20-2020-06-27,2020-06-27-2020-07-04,2020-07-04-2020-07-11,2020-07-11-2020-07-18,2020-07-18-2020-07-25,2020-07-25-2020-08-01,2020-08-01-2020-08-08,2020-08-08-2020-08-15,2020-08-15-2020-08-22,2020-08-22-2020-08-29,2020-08-29-2020-09-05,2020-09-05-2020-09-12,2020-09-12-2020-09-19,2020-09-19-2020-09-26,2020-09-26-2020-10-03,2020-10-03-2020-10-10,2020-10-10-2020-10-17,2020-10-17-2020-10-24,2020-10-24-2020-10-31,2020-10-31-2020-11-07,2020-11-07-2020-11-14,2020-11-14-2020-11-21,2020-11-21-2020-11-28,2020-11-28-2020-12-05,2020-12-05-2020-12-12,2020-12-12-2020-12-19,2020-12-19-2020-12-26,2020-12-26-2021-01-02,2021-01-02-2021-01-09,2021-01-09-2021-01-16,2021-01-16-2021-01-23,2021-01-23-2021-01-30
ensemble_SIkJa_RF,,,,0.5250000000000004,9.456,2.5407,0.0026000000000001577,1.9973999999999998,2.1026999999999996,5.5562,1.2685000000000004,0.42269999999999985,1.5194,2.0746,0.2179000000000002,1.2487000000000004,3.291499999999999,5.5524,1.1073,3.5008999999999997,1.6410999999999998,5.7142,4.702999999999999,2.7650000000000006,2.1159999999999997,4.033999999999999,8.536999999999999,2.6700000000000017,17.909,6.565000000000001,7.899999999999999,2.7689999999999984
Karlen_pypm,,,,,6.0,4.0,0.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,4.0,2.0,4.0,2.0,4.0,4.0,5.0,0.0,3.0,9.0,1.0,7.0,7.0,7.0,11.0
reich_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,16.0,5.0,11.0,,18.0
reich_BPagano_RtDriven,,,,,,,,,,,,,,,,0.0,2.0,4.0,3.0,8.0,9.0,6.0,4.0,6.0,1.0,4.0,13.0,9.0,10.0,6.0,5.0,13.0
reich_Caltech_CS156,,,,,,,,,,,,,,,,,,,,4.0,3.0,6.0,4.0,4.0,0.0,5.0,13.0,2.0,7.0,6.0,,
reich_CEID_Walk,,,,,,,,2.0,1.0,5.0,5.0,0.0,1.0,2.0,1.0,5.0,2.0,4.0,4.0,4.0,4.0,8.0,3.0,8.0,3.0,0.0,15.0,2.0,7.0,14.0,8.0,16.0
reich_CMU_TimeSeries,,,,,7.0,1.0,2.0,3.0,2.0,6.0,5.0,0.0,2.0,2.0,0.0,2.0,2.0,4.0,0.0,5.0,2.0,7.0,4.0,8.0,1.0,0.0,13.0,0.0,7.0,12.0,,15.0
reich_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,,,7.0,1.0,5.0,0.0,3.0,5.0,2.0,2.0,5.0,10.0,4.0,8.0,,8.0,7.0
reich_Covid19Sim_Simulator,,,3.0,4.0,2.0,1.0,1.0,,,4.0,2.0,2.0,1.0,1.0,1.0,3.0,0.0,5.0,3.0,3.0,1.0,,1.0,3.0,4.0,1.0,11.0,5.0,9.0,1.0,,5.0
reich_CovidAnalytics_DELPHI,,,,,,,,,,,,,,,3.0,3.0,1.0,1.0,2.0,6.0,0.0,4.0,4.0,11.0,13.0,12.0,13.0,25.0,15.0,4.0,,3.0
