,2020-06-20-2020-06-27,2020-06-27-2020-07-04,2020-07-04-2020-07-11,2020-07-11-2020-07-18,2020-07-18-2020-07-25,2020-07-25-2020-08-01,2020-08-01-2020-08-08,2020-08-08-2020-08-15,2020-08-15-2020-08-22,2020-08-22-2020-08-29,2020-08-29-2020-09-05,2020-09-05-2020-09-12,2020-09-12-2020-09-19,2020-09-19-2020-09-26,2020-09-26-2020-10-03,2020-10-03-2020-10-10,2020-10-10-2020-10-17,2020-10-17-2020-10-24,2020-10-24-2020-10-31,2020-10-31-2020-11-07,2020-11-07-2020-11-14,2020-11-14-2020-11-21,2020-11-21-2020-11-28,2020-11-28-2020-12-05,2020-12-05-2020-12-12,2020-12-12-2020-12-19,2020-12-19-2020-12-26,2020-12-26-2021-01-02,2021-01-02-2021-01-09,2021-01-09-2021-01-16,2021-01-16-2021-01-23,2021-01-23-2021-01-30
ensemble_SIkJa_RF,,,,,,3.6680000000000064,8.622,11.804,0.9949999999999992,0.22780000000000022,15.5937,4.206,9.0276,11.058900000000001,1.7378999999999998,3.3789999999999996,6.223000000000001,10.982,5.413,5.004000000000001,15.698,16.799999999999997,13.387,19.598999999999997,51.647,54.00899999999999,0.9759999999999991,2.5019999999999953,17.689999999999998,17.408999999999978,44.632,13.096000000000004
Karlen_pypm,,,,,,,2.0,4.0,7.0,6.0,11.0,9.0,1.0,4.0,8.0,6.0,0.0,6.0,7.0,4.0,19.0,27.0,5.0,6.0,13.0,14.0,44.0,76.0,35.0,28.0,10.0,17.0
reich_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,19.0,55.0,81.0
reich_BPagano_RtDriven,,,,,,,,,,,,,,,,,,24.0,19.0,57.0,14.0,2.0,28.0,25.0,22.0,45.0,16.0,57.0,9.0,11.0,24.0,35.0
reich_Caltech_CS156,,,,,,,,,,,,,,,,,,,,,,25.0,32.0,43.0,68.0,87.0,51.0,33.0,97.0,63.0,32.0,35.0
reich_CEID_Walk,,,,,,,,,,2.0,16.0,8.0,0.0,11.0,4.0,6.0,3.0,14.0,12.0,2.0,6.0,18.0,28.0,38.0,55.0,64.0,12.0,22.0,,23.0,0.0,62.0
reich_CMU_TimeSeries,,,,,,,7.0,7.0,1.0,2.0,15.0,8.0,,,,,,,12.0,9.0,8.0,25.0,12.0,30.0,43.0,61.0,17.0,61.0,39.0,55.0,4.0,4.0
reich_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,,,,,19.0,61.0,63.0,5.0,11.0,15.0,64.0,0.0,69.0,7.0,56.0,56.0,
reich_Covid19Sim_Simulator,,,,,5.0,5.0,10.0,17.0,2.0,,,6.0,9.0,7.0,1.0,2.0,1.0,5.0,8.0,5.0,15.0,38.0,31.0,,23.0,26.0,5.0,25.0,15.0,45.0,8.0,5.0
reich_CovidAnalytics_DELPHI,,,,,,,,,,,,,,,,,22.0,19.0,15.0,16.0,0.0,1.0,7.0,1.0,23.0,46.0,7.0,7.0,38.0,20.0,18.0,1.0
reich_COVIDhub_baseline,,,,,22.0,2.0,9.0,10.0,6.0,1.0,16.0,7.0,1.0,10.0,5.0,5.0,3.0,14.0,12.0,1.0,5.0,16.0,29.0,37.0,56.0,64.0,12.0,23.0,23.0,10.0,5.0,68.0
reich_COVIDhub_ensemble,,,,,7.0,4.0,6.0,9.0,4.0,1.0,16.0,5.0,5.0,10.0,1.0,4.0,5.0,11.0,11.0,5.0,0.0,6.0,22.0,29.0,36.0,50.0,4.0,26.0,23.0,17.0,9.0,35.0
reich_CU_nochange,,,,,,,,,,,,,,,,,,11.0,7.0,2.0,8.0,7.0,8.0,11.0,21.0,52.0,28.0,18.0,64.0,53.0,56.0,11.0
reich_CU_scenario_high,,,,,,,,,,,,,,,,,,11.0,6.0,1.0,6.0,8.0,9.0,10.0,20.0,53.0,29.0,18.0,64.0,53.0,56.0,13.0
reich_CU_scenario_low,,,,,,,,,,,,,,,,,,13.0,10.0,2.0,9.0,5.0,9.0,10.0,17.0,50.0,28.0,20.0,63.0,53.0,56.0,7.0
reich_CU_scenario_mid,,,,,,,,,,,,,,,,,,11.0,7.0,1.0,6.0,9.0,9.0,10.0,17.0,51.0,27.0,18.0,62.0,53.0,56.0,18.0
reich_CU_select,,,,,126.0,18.0,9.0,5.0,18.0,8.0,4.0,5.0,3.0,14.0,4.0,5.0,11.0,11.0,7.0,1.0,6.0,9.0,9.0,10.0,17.0,50.0,28.0,20.0,63.0,53.0,56.0,18.0
reich_DDS_NBDS,,,,,,,,1.0,7.0,3.0,10.0,8.0,4.0,11.0,6.0,2.0,1.0,5.0,13.0,19.0,26.0,7.0,11.0,14.0,28.0,41.0,44.0,57.0,93.0,482.0,23.0,82.0
reich_epiforecasts_ensemble1,,,,,,,,,,,,,,,,,,11.0,11.0,3.0,10.0,16.0,28.0,40.0,44.0,92.0,25.0,58.0,,,21.0,60.0
reich_Geneva_DetGrowth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_Google_Harvard_CPF,,,,,,,,,,,,,,,,,,4.0,3.0,1.0,6.0,7.0,11.0,8.0,19.0,32.0,18.0,95.0,49.0,40.0,20.0,101.0
reich_GT_DeepCOVID,,,,,,28.0,19.0,11.0,0.0,0.0,14.0,11.0,5.0,7.0,1.0,0.0,8.0,9.0,9.0,3.0,4.0,1.0,10.0,1.0,30.0,44.0,8.0,20.0,66.0,8.0,2.0,52.0
reich_IHME_CurveFit,,,,,19.0,,2.0,8.0,4.0,1.0,,5.0,5.0,7.0,,4.0,4.0,,,13.0,7.0,,,,29.0,,9.0,15.0,,,,
reich_IowaStateLW_STEM,,,,,25.0,10.0,20.0,14.0,3.0,,16.0,17.0,0.0,13.0,4.0,4.0,13.0,15.0,14.0,13.0,10.0,17.0,26.0,39.0,56.0,78.0,31.0,6.0,33.0,26.0,19.0,57.0
reich_IQVIA_ACOE_STAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_JCB_PRM,,,,,,,,24.0,1.0,6.0,16.0,6.0,4.0,9.0,1.0,3.0,6.0,4.0,9.0,5.0,2.0,7.0,8.0,12.0,31.0,36.0,4.0,50.0,3.0,19.0,,
reich_JHU_CSSE_DECOM,,,,,,,,,,,,,,,,,,7.0,,10.0,11.0,11.0,24.0,25.0,33.0,42.0,14.0,93.0,9.0,7.0,,90.0
reich_JHU_IDD_CovidSP,,,,,5.0,16.0,4.0,1.0,7.0,1.0,14.0,18.0,8.0,7.0,19.0,14.0,1.0,4.0,3.0,4.0,11.0,21.0,37.0,26.0,51.0,60.0,20.0,20.0,19.0,4.0,10.0,3.0
reich_JHU_UNC_GAS_StatMechPool,,,,,,,,,,,,,,,,,,,,,13.0,19.0,,,,,,,,,,
reich_JHUAPL_Bucky,,,,,,,,,,,,,7.0,3.0,1.0,4.0,8.0,3.0,3.0,1.0,20.0,3.0,6.0,21.0,20.0,59.0,19.0,18.0,61.0,71.0,18.0,7.0
reich_LANL_GrowthRate,,,,,3.0,7.0,10.0,10.0,5.0,4.0,21.0,0.0,15.0,18.0,9.0,10.0,20.0,18.0,17.0,16.0,20.0,22.0,17.0,33.0,32.0,17.0,0.0,36.0,17.0,,38.0,44.0
