,2020-06-20-2020-06-27,2020-06-27-2020-07-04,2020-07-04-2020-07-11,2020-07-11-2020-07-18,2020-07-18-2020-07-25,2020-07-25-2020-08-01,2020-08-01-2020-08-08,2020-08-08-2020-08-15,2020-08-15-2020-08-22,2020-08-22-2020-08-29,2020-08-29-2020-09-05,2020-09-05-2020-09-12,2020-09-12-2020-09-19,2020-09-19-2020-09-26,2020-09-26-2020-10-03,2020-10-03-2020-10-10,2020-10-10-2020-10-17,2020-10-17-2020-10-24,2020-10-24-2020-10-31,2020-10-31-2020-11-07,2020-11-07-2020-11-14,2020-11-14-2020-11-21,2020-11-21-2020-11-28,2020-11-28-2020-12-05,2020-12-05-2020-12-12,2020-12-12-2020-12-19,2020-12-19-2020-12-26,2020-12-26-2021-01-02,2021-01-02-2021-01-09,2021-01-09-2021-01-16,2021-01-16-2021-01-23,2021-01-23-2021-01-30
ensemble_SIkJa_RF,,,,,,18.287999999999997,47.97,6.459999999999994,76.12,4.290000000000006,6.191999999999993,16.277,10.757000000000005,37.288,48.33,4.430999999999997,23.58,134.63,25.909999999999997,61.849999999999994,28.02000000000001,142.14,74.18,38.160000000000025,21.370000000000005,68.95999999999998,36.01999999999998,42.299999999999955,40.379999999999995,9.920000000000016,26.930000000000007,85.70000000000005
Karlen_pypm,,,,,,,24.0,82.0,65.0,41.0,32.0,28.0,0.0,5.0,27.0,1.0,49.0,47.0,13.0,54.0,30.0,140.0,22.0,257.0,12.0,12.0,194.0,156.0,135.0,280.0,263.0,71.0
reich_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.0,138.0,133.0,226.0
reich_BPagano_RtDriven,,,,,,,,,,,,,,,,,,6.0,102.0,63.0,4.0,31.0,50.0,20.0,85.0,133.0,42.0,61.0,141.0,22.0,43.0,79.0
reich_Caltech_CS156,,,,,,,,,,,,,,,,,,,,,,20.0,11.0,26.0,57.0,87.0,14.0,41.0,85.0,67.0,48.0,58.0
reich_CEID_Walk,,,,,,,,,,28.0,28.0,6.0,11.0,11.0,42.0,18.0,46.0,1.0,75.0,3.0,52.0,54.0,52.0,105.0,159.0,159.0,78.0,138.0,,142.0,19.0,70.0
reich_CMU_TimeSeries,,,,,,,10.0,54.0,30.0,26.0,11.0,7.0,62.0,58.0,67.0,11.0,64.0,15.0,87.0,41.0,49.0,97.0,48.0,110.0,30.0,102.0,44.0,58.0,63.0,139.0,7.0,101.0
reich_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,,,,,31.0,34.0,132.0,212.0,334.0,187.0,84.0,129.0,372.0,177.0,74.0,235.0,
reich_Covid19Sim_Simulator,,,,,51.0,83.0,65.0,73.0,59.0,,,47.0,1.0,432.0,88.0,53.0,17.0,93.0,54.0,39.0,21.0,18.0,129.0,,92.0,92.0,19.0,99.0,4.0,165.0,1.0,3.0
reich_CovidAnalytics_DELPHI,,,,,,,,,,,,,,,,,118.0,52.0,21.0,80.0,12.0,14.0,21.0,13.0,47.0,48.0,0.0,71.0,153.0,77.0,96.0,88.0
reich_COVIDhub_baseline,,,,,40.0,22.0,14.0,14.0,21.0,20.0,25.0,15.0,16.0,16.0,36.0,19.0,40.0,0.0,72.0,2.0,48.0,43.0,50.0,113.0,159.0,162.0,76.0,138.0,222.0,156.0,11.0,105.0
reich_COVIDhub_ensemble,,,,,32.0,3.0,11.0,23.0,7.0,27.0,8.0,7.0,6.0,32.0,52.0,2.0,47.0,12.0,61.0,16.0,26.0,31.0,18.0,65.0,102.0,89.0,44.0,23.0,111.0,105.0,7.0,105.0
reich_CU_nochange,,,,,,,,,,,,,,,,,,91.0,24.0,9.0,42.0,76.0,48.0,19.0,131.0,159.0,151.0,47.0,196.0,325.0,138.0,48.0
reich_CU_scenario_high,,,,,,,,,,,,,,,,,,96.0,22.0,2.0,46.0,91.0,48.0,16.0,127.0,153.0,165.0,53.0,194.0,325.0,111.0,58.0
reich_CU_scenario_low,,,,,,,,,,,,,,,,,,73.0,33.0,15.0,24.0,61.0,50.0,18.0,124.0,151.0,147.0,56.0,187.0,325.0,139.0,56.0
reich_CU_scenario_mid,,,,,,,,,,,,,,,,,,84.0,23.0,4.0,38.0,77.0,56.0,32.0,125.0,152.0,174.0,70.0,186.0,325.0,78.0,84.0
reich_CU_select,,,,,24.0,67.0,51.0,15.0,127.0,5.0,62.0,73.0,39.0,34.0,5.0,32.0,34.0,84.0,23.0,4.0,38.0,77.0,56.0,18.0,124.0,151.0,147.0,56.0,187.0,325.0,78.0,84.0
reich_DDS_NBDS,,,,,,,,42.0,41.0,20.0,157.0,49.0,10.0,28.0,8.0,17.0,37.0,40.0,59.0,5.0,6.0,69.0,18.0,60.0,65.0,50.0,53.0,52.0,21.0,14.0,64.0,83.0
reich_epiforecasts_ensemble1,,,,,,,,,,,,,,,,,,28.0,64.0,14.0,54.0,56.0,67.0,118.0,120.0,210.0,73.0,38.0,,,119.0,193.0
reich_Geneva_DetGrowth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_Google_Harvard_CPF,,,,,,,,,,,,,,,,,,44.0,50.0,33.0,25.0,12.0,46.0,8.0,15.0,7.0,13.0,283.0,223.0,86.0,78.0,202.0
reich_GT_DeepCOVID,,,,,,79.0,76.0,36.0,42.0,3.0,17.0,17.0,5.0,2.0,19.0,13.0,46.0,2.0,34.0,2.0,43.0,47.0,22.0,108.0,38.0,25.0,42.0,53.0,110.0,163.0,23.0,156.0
reich_IHME_CurveFit,,,,,141.0,,40.0,30.0,11.0,16.0,,31.0,16.0,53.0,,23.0,26.0,,,10.0,12.0,,,,60.0,,16.0,205.0,,,,
reich_IowaStateLW_STEM,,,,,12.0,93.0,54.0,63.0,57.0,,57.0,18.0,11.0,62.0,72.0,40.0,88.0,53.0,88.0,40.0,57.0,79.0,61.0,68.0,117.0,132.0,64.0,86.0,121.0,20.0,17.0,65.0
reich_IQVIA_ACOE_STAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_JCB_PRM,,,,,,,,12.0,61.0,28.0,41.0,17.0,7.0,11.0,22.0,12.0,10.0,53.0,8.0,10.0,11.0,15.0,49.0,39.0,20.0,4.0,30.0,79.0,30.0,30.0,,
reich_JHU_CSSE_DECOM,,,,,,,,,,,,,,,,,,23.0,,33.0,50.0,59.0,58.0,84.0,137.0,116.0,5.0,7.0,120.0,70.0,,162.0
reich_JHU_IDD_CovidSP,,,,,30.0,25.0,21.0,13.0,7.0,2.0,26.0,11.0,21.0,17.0,34.0,7.0,39.0,30.0,59.0,56.0,74.0,120.0,112.0,78.0,128.0,102.0,63.0,161.0,59.0,65.0,21.0,23.0
