,2020-06-20-2020-06-27,2020-06-27-2020-07-04,2020-07-04-2020-07-11,2020-07-11-2020-07-18,2020-07-18-2020-07-25,2020-07-25-2020-08-01,2020-08-01-2020-08-08,2020-08-08-2020-08-15,2020-08-15-2020-08-22,2020-08-22-2020-08-29,2020-08-29-2020-09-05,2020-09-05-2020-09-12,2020-09-12-2020-09-19,2020-09-19-2020-09-26,2020-09-26-2020-10-03,2020-10-03-2020-10-10,2020-10-10-2020-10-17,2020-10-17-2020-10-24,2020-10-24-2020-10-31,2020-10-31-2020-11-07,2020-11-07-2020-11-14,2020-11-14-2020-11-21,2020-11-21-2020-11-28,2020-11-28-2020-12-05,2020-12-05-2020-12-12,2020-12-12-2020-12-19
Karlen_pypm,,,,,9.0,5.0,9.0,11.0,5.0,1.0,8.0,5.0,10.0,3.0,15.0,12.0,5.0,13.0,2.0,16.0,0.0,7.0,17.0,12.0,12.0,
reich_BPagano_RtDriven,,,,,,,,,,,,,,,,3.0,18.0,2.0,5.0,23.0,12.0,0.0,28.0,41.0,2.0,
reich_Caltech_CS156,,,,,,,,,,,,,,,,,,,,7.0,8.0,2.0,29.0,33.0,8.0,
reich_CEID_Walk,,,,,,,,3.0,6.0,1.0,8.0,0.0,6.0,2.0,21.0,4.0,6.0,2.0,10.0,19.0,3.0,27.0,1.0,2.0,23.0,
reich_CMU_TimeSeries,,,,,12.0,10.0,4.0,2.0,0.0,4.0,9.0,0.0,6.0,1.0,18.0,4.0,4.0,5.0,4.0,14.0,0.0,23.0,0.0,3.0,18.0,
reich_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,,,14.0,3.0,33.0,6.0,1.0,22.0,20.0,24.0,
reich_Covid19Sim_Simulator,,,8.0,12.0,17.0,14.0,16.0,,,7.0,10.0,4.0,8.0,6.0,15.0,22.0,8.0,18.0,23.0,8.0,15.0,,31.0,54.0,1.0,
reich_CovidAnalytics_DELPHI,,,,,,,,,,,,,,,6.0,11.0,5.0,11.0,10.0,25.0,31.0,44.0,3.0,2.0,15.0,
reich_COVIDhub_baseline,,,17.0,0.0,0.0,5.0,11.0,3.0,6.0,0.0,9.0,0.0,6.0,1.0,20.0,6.0,4.0,2.0,8.0,18.0,2.0,25.0,1.0,0.0,23.0,
reich_COVIDhub_ensemble,,,,,2.0,5.0,5.0,1.0,0.0,2.0,7.0,4.0,8.0,7.0,13.0,11.0,3.0,3.0,3.0,14.0,2.0,9.0,9.0,9.0,19.0,
reich_CU_nochange,,,,,,,,,,,,,,,,8.0,4.0,5.0,1.0,12.0,2.0,5.0,7.0,3.0,25.0,36.0
reich_CU_scenario_high,,,,,,,,,,,,,,,,6.0,4.0,7.0,1.0,12.0,4.0,8.0,6.0,0.0,26.0,35.0
reich_CU_scenario_low,,,,,,,,,,,,,,,,7.0,4.0,7.0,1.0,13.0,4.0,7.0,6.0,1.0,24.0,37.0
reich_CU_scenario_mid,,,,,,,,,,,,,,,,6.0,3.0,7.0,1.0,14.0,3.0,5.0,5.0,2.0,24.0,36.0
reich_CU_select,,,20.0,20.0,7.0,2.0,0.0,4.0,1.0,5.0,7.0,6.0,14.0,22.0,11.0,6.0,3.0,7.0,1.0,14.0,3.0,7.0,6.0,1.0,24.0,37.0
reich_DDS_NBDS,,,,,,3.0,26.0,19.0,1.0,1.0,7.0,8.0,7.0,7.0,10.0,19.0,2.0,4.0,2.0,0.0,5.0,15.0,3.0,14.0,23.0,
reich_epiforecasts_ensemble1,,,,,,,,,,,,,,,,14.0,2.0,2.0,10.0,21.0,2.0,23.0,23.0,22.0,22.0,
reich_Geneva_DetGrowth,,,,,,,,,,,,,,,,6.0,17.0,16.0,11.0,14.0,15.0,6.0,28.0,30.0,28.0,
reich_Google_Harvard_CPF,,,,,,,,,,,,,,,,21.0,10.0,14.0,6.0,27.0,14.0,21.0,11.0,11.0,42.0,
reich_GT_DeepCOVID,,,,,15.0,10.0,1.0,4.0,0.0,2.0,5.0,5.0,8.0,9.0,,6.0,7.0,6.0,6.0,19.0,11.0,19.0,2.0,1.0,21.0,
reich_IHME_CurveFit,,,19.0,,13.0,2.0,1.0,12.0,,5.0,8.0,14.0,,2.0,21.0,,,22.0,9.0,,,,17.0,,15.0,38.0
reich_IowaStateLW_STEM,,,7.0,3.0,10.0,9.0,1.0,,0.0,3.0,9.0,13.0,29.0,12.0,15.0,21.0,1.0,2.0,1.0,12.0,7.0,2.0,25.0,36.0,15.0,
reich_IQVIA_ACOE_STAN,,,,,,,,,,,,,,,,11.0,1.0,,13.0,23.0,0.0,23.0,7.0,8.0,,
reich_JCB_PRM,,,,,,12.0,15.0,3.0,4.0,1.0,7.0,5.0,9.0,8.0,13.0,18.0,10.0,3.0,2.0,13.0,11.0,13.0,6.0,17.0,4.0,
reich_JHU_CSSE_DECOM,,,,,,,,,,,,,,,,24.0,,5.0,3.0,30.0,16.0,16.0,14.0,12.0,8.0,
reich_JHU_IDD_CovidSP,,,19.0,28.0,28.0,18.0,42.0,41.0,41.0,22.0,26.0,21.0,25.0,17.0,5.0,6.0,5.0,4.0,3.0,27.0,24.0,36.0,46.0,47.0,18.0,
