,2020-06-20-2020-06-27,2020-06-27-2020-07-04,2020-07-04-2020-07-11,2020-07-11-2020-07-18,2020-07-18-2020-07-25,2020-07-25-2020-08-01,2020-08-01-2020-08-08,2020-08-08-2020-08-15,2020-08-15-2020-08-22,2020-08-22-2020-08-29,2020-08-29-2020-09-05,2020-09-05-2020-09-12,2020-09-12-2020-09-19,2020-09-19-2020-09-26,2020-09-26-2020-10-03,2020-10-03-2020-10-10,2020-10-10-2020-10-17,2020-10-17-2020-10-24,2020-10-24-2020-10-31,2020-10-31-2020-11-07,2020-11-07-2020-11-14,2020-11-14-2020-11-21,2020-11-21-2020-11-28,2020-11-28-2020-12-05,2020-12-05-2020-12-12,2020-12-12-2020-12-19
Karlen_pypm,,,,,11.0,12.0,10.0,16.0,18.0,0.0,18.0,3.0,15.0,19.0,6.0,8.0,4.0,25.0,3.0,26.0,12.0,13.0,39.0,40.0,50.0,
reich_BPagano_RtDriven,,,,,,,,,,,,,,,,8.0,15.0,11.0,36.0,43.0,20.0,9.0,53.0,19.0,75.0,
reich_Caltech_CS156,,,,,,,,,,,,,,,,,,,,19.0,8.0,2.0,71.0,4.0,99.0,
reich_CEID_Walk,,,,,,,,7.0,25.0,16.0,20.0,9.0,9.0,5.0,5.0,7.0,18.0,29.0,12.0,6.0,20.0,25.0,24.0,74.0,48.0,
reich_CMU_TimeSeries,,,,,16.0,13.0,15.0,8.0,23.0,10.0,22.0,8.0,11.0,3.0,5.0,7.0,19.0,27.0,1.0,9.0,26.0,22.0,17.0,62.0,52.0,
reich_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,,,36.0,1.0,38.0,16.0,12.0,16.0,36.0,21.0,
reich_Covid19Sim_Simulator,,,15.0,21.0,1.0,4.0,16.0,,,2.0,7.0,3.0,11.0,11.0,6.0,1.0,17.0,42.0,3.0,29.0,27.0,,32.0,29.0,1.0,
reich_CovidAnalytics_DELPHI,,,,,,,,,,,,,,,4.0,14.0,2.0,40.0,13.0,5.0,16.0,39.0,30.0,44.0,15.0,
reich_COVIDhub_baseline,,,6.0,8.0,16.0,15.0,12.0,6.0,24.0,13.0,23.0,8.0,13.0,5.0,5.0,7.0,19.0,29.0,11.0,5.0,21.0,28.0,23.0,75.0,47.0,
reich_COVIDhub_ensemble,,,,,12.0,3.0,14.0,0.0,25.0,0.0,19.0,4.0,10.0,9.0,3.0,9.0,10.0,29.0,1.0,20.0,11.0,17.0,30.0,46.0,49.0,
reich_CU_nochange,,,,,,,,,,,,,,,,6.0,6.0,27.0,1.0,48.0,41.0,11.0,30.0,46.0,57.0,10.0
reich_CU_scenario_high,,,,,,,,,,,,,,,,6.0,5.0,27.0,1.0,47.0,42.0,9.0,31.0,44.0,57.0,11.0
