,2020-06-20-2020-06-27,2020-06-27-2020-07-04,2020-07-04-2020-07-11,2020-07-11-2020-07-18,2020-07-18-2020-07-25,2020-07-25-2020-08-01,2020-08-01-2020-08-08,2020-08-08-2020-08-15,2020-08-15-2020-08-22,2020-08-22-2020-08-29,2020-08-29-2020-09-05,2020-09-05-2020-09-12,2020-09-12-2020-09-19,2020-09-19-2020-09-26,2020-09-26-2020-10-03,2020-10-03-2020-10-10,2020-10-10-2020-10-17,2020-10-17-2020-10-24,2020-10-24-2020-10-31,2020-10-31-2020-11-07,2020-11-07-2020-11-14,2020-11-14-2020-11-21,2020-11-21-2020-11-28,2020-11-28-2020-12-05,2020-12-05-2020-12-12,2020-12-12-2020-12-19,2020-12-19-2020-12-26,2020-12-26-2021-01-02,2021-01-02-2021-01-09,2021-01-09-2021-01-16,2021-01-16-2021-01-23,2021-01-23-2021-01-30
ensemble_SIkJa_RF,,,,2.1066000000000003,4.6685,0.7925000000000004,2.9528,3.2159000000000004,1.9192999999999998,0.8393000000000002,0.9950999999999999,1.4752,1.6503999999999999,1.7803,0.4578000000000002,1.4825,0.29479999999999995,3.3844,1.9664000000000001,2.0174000000000003,7.9438,9.876999999999999,0.7850000000000001,21.844,5.055999999999994,2.274000000000001,18.42,4.042999999999999,39.171,35.265,70.61,4.399000000000001
Karlen_pypm,,,,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,2.0,2.0,0.0,3.0,7.0,5.0,1.0,13.0,1.0,4.0,13.0,1.0,44.0,2.0,39.0,19.0
reich_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,14.0,44.0,42.0,,15.0
reich_BPagano_RtDriven,,,,,,,,,,,,,,,,0.0,2.0,4.0,1.0,4.0,1.0,6.0,6.0,17.0,14.0,2.0,2.0,2.0,35.0,31.0,30.0,14.0
reich_Caltech_CS156,,,,,,,,,,,,,,,,,,,,2.0,7.0,2.0,3.0,21.0,7.0,5.0,8.0,1.0,33.0,30.0,,
reich_CEID_Walk,,,,,,,,1.0,1.0,1.0,0.0,1.0,4.0,2.0,1.0,0.0,3.0,2.0,1.0,4.0,8.0,0.0,6.0,20.0,5.0,7.0,8.0,12.0,36.0,2.0,34.0,10.0
reich_CMU_TimeSeries,,,,,3.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,4.0,8.0,0.0,6.0,19.0,5.0,8.0,4.0,2.0,41.0,38.0,,16.0
reich_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,,,0.0,1.0,3.0,3.0,7.0,5.0,18.0,14.0,6.0,20.0,21.0,41.0,,31.0,28.0
reich_Covid19Sim_Simulator,,,3.0,3.0,0.0,2.0,0.0,,,1.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,3.0,10.0,,4.0,9.0,3.0,4.0,18.0,11.0,27.0,35.0,,22.0
reich_CovidAnalytics_DELPHI,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,2.0,2.0,6.0,1.0,2.0,22.0,11.0,13.0,11.0,3.0,31.0,29.0,,24.0
reich_COVIDhub_baseline,,,2.0,0.0,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,8.0,1.0,6.0,19.0,6.0,5.0,8.0,12.0,35.0,1.0,,
reich_COVIDhub_ensemble,,,3.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,3.0,8.0,1.0,4.0,19.0,1.0,1.0,12.0,2.0,35.0,25.0,,14.0
reich_CU_nochange,,,,,,,,,,,,,,,,1.0,3.0,0.0,1.0,4.0,7.0,7.0,14.0,36.0,23.0,4.0,25.0,15.0,22.0,26.0,,9.0
reich_CU_scenario_high,,,,,,,,,,,,,,,,1.0,3.0,0.0,1.0,4.0,7.0,7.0,16.0,36.0,23.0,4.0,23.0,15.0,22.0,26.0,,9.0
reich_CU_scenario_low,,,,,,,,,,,,,,,,1.0,3.0,0.0,1.0,4.0,7.0,7.0,15.0,36.0,23.0,4.0,23.0,15.0,22.0,26.0,,9.0
