,2020-06-20-2020-06-27,2020-06-27-2020-07-04,2020-07-04-2020-07-11,2020-07-11-2020-07-18,2020-07-18-2020-07-25,2020-07-25-2020-08-01,2020-08-01-2020-08-08,2020-08-08-2020-08-15,2020-08-15-2020-08-22,2020-08-22-2020-08-29,2020-08-29-2020-09-05,2020-09-05-2020-09-12,2020-09-12-2020-09-19,2020-09-19-2020-09-26,2020-09-26-2020-10-03,2020-10-03-2020-10-10,2020-10-10-2020-10-17,2020-10-17-2020-10-24,2020-10-24-2020-10-31,2020-10-31-2020-11-07,2020-11-07-2020-11-14,2020-11-14-2020-11-21,2020-11-21-2020-11-28,2020-11-28-2020-12-05,2020-12-05-2020-12-12,2020-12-12-2020-12-19
Karlen_pypm,,,,,,,111.0,1.0,52.0,67.0,49.0,28.0,35.0,18.0,10.0,44.0,67.0,117.0,82.0,51.0,86.0,116.0,175.0,77.0,93.0,153.0
reich_BPagano_RtDriven,,,,,,,,,,,,,,,,,,102.0,38.0,35.0,60.0,13.0,6.0,33.0,15.0,25.0
reich_Caltech_CS156,,,,,,,,,,,,,,,,,,,,,,119.0,99.0,111.0,54.0,81.0
reich_CEID_Walk,,,,,,,,,,8.0,15.0,13.0,1.0,3.0,18.0,47.0,61.0,109.0,98.0,126.0,95.0,147.0,161.0,246.0,200.0,161.0
reich_CMU_TimeSeries,,,,,,,2.0,34.0,8.0,24.0,25.0,10.0,16.0,8.0,32.0,39.0,73.0,111.0,96.0,146.0,88.0,131.0,69.0,157.0,141.0,13.0
reich_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,,,,,210.0,227.0,127.0,177.0,362.0,410.0,15.0
reich_Covid19Sim_Simulator,,,,,31.0,28.0,7.0,19.0,5.0,,,1.0,20.0,5.0,12.0,47.0,76.0,114.0,107.0,90.0,23.0,69.0,97.0,,349.0,352.0
reich_CovidAnalytics_DELPHI,,,,,,,,,,,,,,,,,51.0,117.0,125.0,194.0,126.0,135.0,336.0,453.0,224.0,8.0
reich_COVIDhub_baseline,,,,,4.0,7.0,1.0,17.0,14.0,2.0,15.0,15.0,1.0,3.0,17.0,47.0,62.0,108.0,101.0,124.0,96.0,144.0,157.0,248.0,193.0,163.0
reich_COVIDhub_ensemble,,,,15.0,0.0,,7.0,2.0,9.0,15.0,13.0,17.0,21.0,3.0,17.0,46.0,56.0,115.0,101.0,112.0,74.0,73.0,11.0,112.0,10.0,90.0
reich_CU_nochange,,,,,,,,,,,,,,,,,,55.0,14.0,18.0,26.0,14.0,159.0,25.0,38.0,213.0
reich_CU_scenario_high,,,,,,,,,,,,,,,,,,47.0,3.0,37.0,12.0,36.0,165.0,23.0,27.0,209.0
reich_CU_scenario_low,,,,,,,,,,,,,,,,,,73.0,33.0,4.0,44.0,13.0,167.0,26.0,17.0,193.0
reich_CU_scenario_mid,,,,,,,,,,,,,,,,,,64.0,24.0,20.0,20.0,15.0,188.0,37.0,22.0,204.0
reich_CU_select,,,,,5.0,16.0,32.0,62.0,4.0,77.0,46.0,5.0,137.0,36.0,7.0,1.0,9.0,64.0,24.0,20.0,20.0,15.0,188.0,26.0,17.0,193.0
reich_DDS_NBDS,,,,,,,,35.0,42.0,6.0,75.0,35.0,16.0,13.0,12.0,48.0,67.0,132.0,132.0,120.0,136.0,121.0,37.0,135.0,40.0,231.0
reich_epiforecasts_ensemble1,,,,,,,,,,,,,,,,,,118.0,30.0,63.0,3.0,91.0,85.0,189.0,61.0,126.0
reich_Geneva_DetGrowth,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_Google_Harvard_CPF,,,,,,,,,,,,,,,,,,132.0,106.0,129.0,68.0,11.0,46.0,95.0,80.0,12.0
reich_GT_DeepCOVID,,,,,,25.0,23.0,17.0,9.0,34.0,24.0,39.0,52.0,14.0,16.0,43.0,87.0,137.0,133.0,134.0,88.0,25.0,2.0,9.0,416.0,91.0
reich_IHME_CurveFit,,,,,1.0,,11.0,43.0,9.0,25.0,,52.0,50.0,16.0,,43.0,29.0,,,44.0,35.0,,,,33.0,
reich_IowaStateLW_STEM,,,,,45.0,22.0,47.0,42.0,62.0,,17.0,6.0,7.0,3.0,17.0,36.0,68.0,115.0,138.0,170.0,137.0,161.0,198.0,213.0,103.0,144.0
reich_IQVIA_ACOE_STAN,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_JCB_PRM,,,,,,,,83.0,30.0,64.0,33.0,17.0,33.0,19.0,17.0,39.0,65.0,116.0,74.0,115.0,35.0,29.0,37.0,60.0,150.0,114.0
reich_JHU_CSSE_DECOM,,,,,,,,,,,,,,,,,,68.0,,79.0,46.0,92.0,118.0,60.0,58.0,17.0
reich_JHU_IDD_CovidSP,,,,,79.0,75.0,91.0,70.0,56.0,87.0,84.0,70.0,105.0,72.0,36.0,1.0,33.0,113.0,128.0,163.0,184.0,223.0,266.0,165.0,132.0,251.0
reich_JHU_UNC_GAS_StatMechPool,,,,,,,,,,,,,,,,,,,,,109.0,157.0,,,,
reich_JHUAPL_Bucky,,,,,,,,,,,,,80.0,184.0,39.0,25.0,42.0,89.0,66.0,78.0,34.0,71.0,30.0,107.0,63.0,182.0
reich_LANL_GrowthRate,,,,,17.0,5.0,4.0,37.0,43.0,11.0,29.0,30.0,16.0,30.0,36.0,75.0,87.0,137.0,125.0,171.0,160.0,4.0,100.0,5.0,229.0,348.0
reich_LNQ_ens1,,,,,,,14.0,6.0,20.0,4.0,9.0,1.0,12.0,9.0,31.0,56.0,64.0,91.0,61.0,67.0,46.0,42.0,36.0,22.0,9.0,227.0
reich_Microsoft_DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_MIT_CritData_GBCF,,,,,,,,,,,,,,,,,,110.0,123.0,141.0,161.0,182.0,205.0,324.0,70.0,74.0
reich_MITCovAlliance_SIR,,,,,80.0,47.0,23.0,1.0,0.0,,1.0,,,16.0,5.0,10.0,1.0,,,140.0,,,,,,
reich_MOBS_GLEAM_COVID,,,,,22.0,32.0,133.0,62.0,86.0,34.0,36.0,17.0,23.0,13.0,0.0,58.0,52.0,87.0,80.0,75.0,80.0,115.0,10.0,79.0,8.0,133.0
reich_MSRA_DeepST,,,,,,,,,,,,,,,,,,,,122.0,,58.0,14.0,178.0,43.0,56.0
reich_NotreDame_mobility,,,,,,,,,,,,,,,,,,126.0,80.0,83.0,74.0,72.0,42.0,75.0,50.0,56.0
reich_OliverWyman_Navigator,,,,,21.0,36.0,34.0,25.0,15.0,14.0,28.0,21.0,5.0,3.0,27.0,52.0,51.0,67.0,23.0,34.0,17.0,75.0,5.0,70.0,57.0,2.0
reich_PSI_DRAFT,,,,,40.0,30.0,37.0,68.0,41.0,42.0,7.0,89.0,39.0,18.0,8.0,36.0,60.0,125.0,135.0,146.0,188.0,218.0,253.0,202.0,241.0,135.0
reich_RobertWalraven_ESG,,,,,68.0,22.0,11.0,19.0,27.0,389.0,27.0,13.0,19.0,51.0,66.0,71.0,91.0,172.0,163.0,123.0,202.0,225.0,71.0,212.0,10.0,43.0
reich_RPI_UW_Mob_Collision,,,,,,,,,,5.0,9.0,16.0,11.0,18.0,37.0,56.0,82.0,143.0,145.0,181.0,156.0,181.0,214.0,217.0,214.0,99.0
reich_SteveMcConnell_CovidComplete,,,,,,,,,,,,16.0,11.0,0.0,24.0,41.0,61.0,116.0,101.0,104.0,63.0,43.0,44.0,152.0,264.0,66.0
reich_TTU_squider,,,,,,,,,,,,,,,,,,18.0,16.0,19.0,58.0,240.0,298.0,380.0,259.0,297.0
reich_UA_EpiCovDA,,,,,,,,,,,,,,,,,,56.0,22.0,83.0,41.0,19.0,176.0,226.0,208.0,317.0
reich_UChicagoCHATTOPADHYAY_UnIT,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_UCLA_SuEIR,,,,,25.0,17.0,5.0,13.0,27.0,22.0,7.0,12.0,9.0,5.0,34.0,59.0,79.0,135.0,141.0,177.0,185.0,217.0,228.0,339.0,139.0,171.0
reich_UCSB_ACTS,,,,,,,,,,,,,,,,,,,,,137.0,33.0,119.0,205.0,140.0,32.0
reich_UCSD_NEU_DeepGLEAM,,,,,,,,,,,,,,17.0,43.0,53.0,46.0,83.0,74.0,69.0,71.0,109.0,4.0,73.0,14.0,140.0
reich_UMass_MechBayes,,,,,61.0,34.0,93.0,37.0,5.0,43.0,13.0,3.0,22.0,9.0,0.0,41.0,55.0,84.0,48.0,46.0,57.0,2.0,147.0,166.0,106.0,186.0
reich_UMich_RidgeTfReg,,,,,,,24.0,,,6.0,,69.0,72.0,60.0,28.0,7.0,34.0,104.0,112.0,149.0,168.0,218.0,,,,
reich_USACE_ERDC_SEIR,,,,,12.0,28.0,196.0,181.0,160.0,222.0,168.0,141.0,188.0,169.0,142.0,111.0,91.0,,164.0,,266.0,,,981.0,1094.0,793.0
reich_UT_Mobility,,,,,5.0,3.0,22.0,3.0,17.0,,44.0,32.0,,,38.0,47.0,451.0,47.0,34.0,127.0,131.0,312.0,178.0,118.0,305.0,86.0
UMich_RidgeTfReg,,,166.0,146.0,110.0,91.0,78.0,44.0,38.0,52.0,39.0,40.0,41.0,21.0,4.0,20.0,44.0,104.0,,,,,,,,
USC_SI_kJalpha_RF,,,,,,,,,,,,,,,,,,,,,,147.0,162.0,,,
USC_SI_kJalpha,,,,,27.0,46.0,217.0,20.0,7.0,12.0,33.0,15.0,14.0,3.0,30.0,45.0,68.0,98.0,44.0,9.0,40.0,8.0,71.0,144.0,252.0,90.0
YYG_ParamSearch,,,,,3.0,2.0,20.0,41.0,21.0,42.0,30.0,25.0,6.0,18.0,27.0,50.0,49.0,79.0,,,,,,,,
