,2020-06-20-2020-06-27,2020-06-27-2020-07-04,2020-07-04-2020-07-11,2020-07-11-2020-07-18,2020-07-18-2020-07-25,2020-07-25-2020-08-01,2020-08-01-2020-08-08,2020-08-08-2020-08-15,2020-08-15-2020-08-22,2020-08-22-2020-08-29,2020-08-29-2020-09-05,2020-09-05-2020-09-12,2020-09-12-2020-09-19,2020-09-19-2020-09-26,2020-09-26-2020-10-03,2020-10-03-2020-10-10,2020-10-10-2020-10-17,2020-10-17-2020-10-24,2020-10-24-2020-10-31,2020-10-31-2020-11-07,2020-11-07-2020-11-14,2020-11-14-2020-11-21,2020-11-21-2020-11-28,2020-11-28-2020-12-05,2020-12-05-2020-12-12,2020-12-12-2020-12-19
Karlen_pypm,,,,,19.0,18.0,6.0,13.0,10.0,15.0,6.0,13.0,12.0,7.0,14.0,15.0,8.0,23.0,19.0,3.0,11.0,12.0,26.0,30.0,25.0,
reich_BPagano_RtDriven,,,,,,,,,,,,,,,,2.0,22.0,3.0,6.0,7.0,26.0,15.0,50.0,1.0,15.0,
reich_Caltech_CS156,,,,,,,,,,,,,,,,,,,,2.0,14.0,2.0,48.0,4.0,5.0,
reich_CEID_Walk,,,,,,,,2.0,16.0,6.0,19.0,3.0,8.0,15.0,14.0,4.0,24.0,15.0,11.0,1.0,3.0,22.0,16.0,70.0,2.0,
reich_CMU_TimeSeries,,,,,14.0,8.0,5.0,5.0,23.0,0.0,18.0,4.0,4.0,18.0,14.0,4.0,23.0,9.0,14.0,5.0,18.0,40.0,20.0,51.0,4.0,
reich_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,,,33.0,18.0,2.0,26.0,27.0,75.0,11.0,47.0,
reich_Covid19Sim_Simulator,,,6.0,7.0,0.0,0.0,12.0,,,11.0,24.0,11.0,0.0,18.0,1.0,15.0,10.0,29.0,29.0,6.0,13.0,,55.0,25.0,54.0,
reich_CovidAnalytics_DELPHI,,,,,,,,,,,,,,,11.0,14.0,4.0,55.0,21.0,9.0,4.0,19.0,53.0,11.0,34.0,
reich_COVIDhub_baseline,,,9.0,7.0,15.0,8.0,1.0,0.0,14.0,4.0,19.0,4.0,5.0,17.0,14.0,3.0,23.0,16.0,9.0,0.0,5.0,21.0,15.0,64.0,11.0,
reich_COVIDhub_ensemble,,,,,14.0,6.0,4.0,0.0,16.0,9.0,14.0,7.0,13.0,12.0,12.0,4.0,20.0,20.0,17.0,5.0,8.0,10.0,36.0,28.0,7.0,
reich_CU_nochange,,,,,,,,,,,,,,,,3.0,21.0,36.0,48.0,48.0,52.0,5.0,33.0,13.0,6.0,12.0
reich_CU_scenario_high,,,,,,,,,,,,,,,,5.0,21.0,36.0,49.0,49.0,52.0,4.0,33.0,14.0,2.0,11.0
reich_CU_scenario_low,,,,,,,,,,,,,,,,4.0,20.0,35.0,49.0,50.0,51.0,3.0,31.0,14.0,7.0,11.0
reich_CU_scenario_mid,,,,,,,,,,,,,,,,4.0,21.0,34.0,49.0,49.0,50.0,2.0,32.0,12.0,3.0,10.0
reich_CU_select,,,11.0,3.0,4.0,3.0,63.0,20.0,13.0,3.0,12.0,22.0,40.0,25.0,65.0,4.0,21.0,34.0,49.0,49.0,50.0,3.0,31.0,14.0,7.0,11.0
reich_DDS_NBDS,,,,,,0.0,9.0,20.0,6.0,12.0,11.0,14.0,23.0,5.0,9.0,6.0,18.0,15.0,17.0,4.0,31.0,13.0,55.0,32.0,16.0,
reich_epiforecasts_ensemble1,,,,,,,,,,,,,,,,6.0,24.0,27.0,15.0,9.0,9.0,23.0,18.0,62.0,15.0,
reich_Geneva_DetGrowth,,,,,,,,,,,,,,,,10.0,29.0,2.0,8.0,24.0,27.0,56.0,40.0,83.0,18.0,
reich_Google_Harvard_CPF,,,,,,,,,,,,,,,,2.0,13.0,23.0,24.0,6.0,3.0,13.0,39.0,27.0,50.0,
reich_GT_DeepCOVID,,,,1.0,8.0,5.0,3.0,6.0,16.0,10.0,11.0,3.0,3.0,13.0,10.0,2.0,16.0,23.0,18.0,18.0,5.0,14.0,44.0,34.0,19.0,
reich_IHME_CurveFit,,,10.0,,16.0,16.0,1.0,41.0,,34.0,23.0,34.0,,32.0,7.0,,,37.0,19.0,,,,5.0,,30.0,51.0
