,2020-06-20-2020-06-27,2020-06-27-2020-07-04,2020-07-04-2020-07-11,2020-07-11-2020-07-18,2020-07-18-2020-07-25,2020-07-25-2020-08-01,2020-08-01-2020-08-08,2020-08-08-2020-08-15,2020-08-15-2020-08-22,2020-08-22-2020-08-29,2020-08-29-2020-09-05,2020-09-05-2020-09-12,2020-09-12-2020-09-19,2020-09-19-2020-09-26,2020-09-26-2020-10-03,2020-10-03-2020-10-10,2020-10-10-2020-10-17,2020-10-17-2020-10-24,2020-10-24-2020-10-31,2020-10-31-2020-11-07,2020-11-07-2020-11-14,2020-11-14-2020-11-21,2020-11-21-2020-11-28,2020-11-28-2020-12-05,2020-12-05-2020-12-12,2020-12-12-2020-12-19,2020-12-19-2020-12-26,2020-12-26-2021-01-02,2021-01-02-2021-01-09,2021-01-09-2021-01-16,2021-01-16-2021-01-23,2021-01-23-2021-01-30
ensemble_SIkJa_RF,,,,,,,1.3449999999999989,35.16,48.25,14.210999999999999,6.013000000000005,2.676000000000002,12.920000000000002,5.917000000000002,20.611000000000004,39.94199999999999,68.605,127.09899999999998,86.46,115.00999999999999,87.43,77.85000000000002,21.610000000000014,7.259999999999991,199.90999999999997,141.57000000000005,71.07,189.43,40.07000000000005,239.51,137.82000000000005,180.43
Karlen_pypm,,,,,,,,140.0,12.0,102.0,64.0,60.0,41.0,31.0,4.0,29.0,69.0,133.0,130.0,112.0,47.0,138.0,186.0,205.0,217.0,189.0,123.0,39.0,16.0,209.0,63.0,152.0
reich_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.0,7.0,477.0
reich_BPagano_RtDriven,,,,,,,,,,,,,,,,,,,113.0,70.0,50.0,31.0,50.0,106.0,1.0,27.0,97.0,128.0,103.0,240.0,89.0,334.0
reich_Caltech_CS156,,,,,,,,,,,,,,,,,,,,,,,159.0,189.0,47.0,26.0,56.0,25.0,18.0,241.0,66.0,142.0
reich_CEID_Walk,,,,,,,,,,,18.0,16.0,20.0,9.0,18.0,42.0,72.0,126.0,124.0,145.0,162.0,155.0,208.0,292.0,255.0,227.0,44.0,61.0,,,17.0,313.0
reich_CMU_TimeSeries,,,,,,,,24.0,33.0,7.0,12.0,31.0,18.0,9.0,11.0,52.0,77.0,146.0,132.0,149.0,164.0,150.0,205.0,202.0,93.0,219.0,153.0,174.0,191.0,392.0,251.0,214.0
reich_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,,,,,,426.0,392.0,204.0,210.0,716.0,771.0,174.0,311.0,178.0,146.0,3.0,65.0
reich_Covid19Sim_Simulator,,,,,,35.0,14.0,30.0,14.0,22.0,,,7.0,11.0,22.0,34.0,72.0,142.0,124.0,148.0,113.0,40.0,1.0,40.0,,249.0,382.0,90.0,15.0,244.0,209.0,186.0
reich_CovidAnalytics_DELPHI,,,,,,,,,,,,,,,,,,120.0,136.0,177.0,239.0,178.0,254.0,542.0,815.0,197.0,80.0,174.0,206.0,174.0,226.0,153.0
reich_COVIDhub_baseline,,,,,,5.0,4.0,28.0,15.0,9.0,12.0,17.0,24.0,7.0,15.0,38.0,70.0,126.0,122.0,147.0,160.0,158.0,203.0,284.0,255.0,222.0,46.0,65.0,5.0,259.0,57.0,335.0
reich_COVIDhub_ensemble,,,,,,2.0,18.0,17.0,16.0,9.0,12.0,14.0,24.0,13.0,14.0,37.0,70.0,122.0,132.0,147.0,136.0,125.0,107.0,105.0,43.0,29.0,26.0,9.0,65.0,211.0,40.0,168.0
reich_CU_nochange,,,,,,,,,,,,,,,,,,,25.0,6.0,53.0,52.0,25.0,111.0,59.0,103.0,159.0,184.0,73.0,17.0,326.0,212.0
reich_CU_scenario_high,,,,,,,,,,,,,,,,,,,9.0,7.0,77.0,21.0,53.0,129.0,72.0,82.0,153.0,171.0,87.0,10.0,326.0,211.0
reich_CU_scenario_low,,,,,,,,,,,,,,,,,,,74.0,58.0,18.0,109.0,68.0,117.0,75.0,56.0,129.0,181.0,125.0,14.0,328.0,214.0
reich_CU_scenario_mid,,,,,,,,,,,,,,,,,,,52.0,33.0,27.0,64.0,8.0,164.0,107.0,61.0,137.0,154.0,114.0,1.0,326.0,210.0
reich_CU_select,,,,,,5.0,3.0,64.0,90.0,36.0,81.0,62.0,15.0,155.0,33.0,3.0,2.0,40.0,52.0,33.0,27.0,64.0,8.0,164.0,75.0,56.0,129.0,181.0,125.0,14.0,326.0,210.0
reich_DDS_NBDS,,,,,,,,,32.0,24.0,1.0,117.0,58.0,10.0,34.0,26.0,73.0,133.0,149.0,181.0,157.0,211.0,177.0,2.0,132.0,75.0,147.0,93.0,724.0,130.0,199.0,113.0
reich_epiforecasts_ensemble1,,,,,,,,,,,,,,,,,,,131.0,10.0,291.0,23.0,126.0,186.0,180.0,33.0,7.0,284.0,126.0,,,237.0
reich_Geneva_DetGrowth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_Google_Harvard_CPF,,,,,,,,,,,,,,,,,,,147.0,148.0,162.0,102.0,9.0,115.0,225.0,149.0,162.0,172.0,87.0,292.0,30.0,194.0
reich_GT_DeepCOVID,,,,,,,152.0,1.0,17.0,5.0,44.0,25.0,41.0,52.0,7.0,39.0,72.0,157.0,153.0,190.0,197.0,147.0,29.0,34.0,122.0,751.0,23.0,183.0,143.0,255.0,116.0,58.0
reich_IHME_CurveFit,,,,,,7.0,,21.0,46.0,26.0,12.0,,72.0,51.0,4.0,,60.0,80.0,,,27.0,31.0,,,,126.0,,195.0,120.0,,,
reich_IowaStateLW_STEM,,,,,,49.0,6.0,75.0,40.0,40.0,,16.0,2.0,1.0,22.0,6.0,63.0,137.0,133.0,188.0,208.0,201.0,221.0,326.0,217.0,132.0,32.0,112.0,66.0,282.0,134.0,170.0
reich_IQVIA_ACOE_STAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_JCB_PRM,,,,,,,,,100.0,51.0,59.0,39.0,25.0,28.0,1.0,43.0,62.0,131.0,129.0,105.0,139.0,55.0,60.0,66.0,143.0,240.0,335.0,170.0,190.0,436.0,139.0,
reich_JHU_CSSE_DECOM,,,,,,,,,,,,,,,,,,,77.0,,103.0,75.0,123.0,196.0,17.0,119.0,166.0,220.0,377.0,266.0,47.0,
reich_JHU_IDD_CovidSP,,,,,,93.0,127.0,97.0,99.0,95.0,91.0,93.0,96.0,111.0,61.0,19.0,22.0,96.0,128.0,164.0,182.0,228.0,267.0,383.0,137.0,139.0,132.0,281.0,223.0,244.0,55.0,132.0
reich_JHU_UNC_GAS_StatMechPool,,,,,,,,,,,,,,,,,,,,,,168.0,212.0,,,,,,,,,
reich_JHUAPL_Bucky,,,,,,,,,,,,,,69.0,168.0,15.0,5.0,112.0,106.0,119.0,109.0,80.0,99.0,104.0,311.0,156.0,75.0,219.0,265.0,113.0,290.0,66.0
reich_LANL_GrowthRate,,,,,,1.0,5.0,35.0,44.0,28.0,30.0,36.0,29.0,33.0,56.0,67.0,105.0,160.0,163.0,187.0,222.0,244.0,37.0,32.0,24.0,290.0,257.0,54.0,7.0,202.0,,182.0
reich_LNQ_ens1,,,,,,,,0.0,0.0,3.0,3.0,8.0,5.0,1.0,28.0,56.0,84.0,130.0,107.0,104.0,95.0,108.0,116.0,58.0,86.0,19.0,115.0,50.0,89.0,238.0,73.0,200.0
reich_Microsoft_DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,203.0,420.0,73.0,252.0
reich_MIT_CritData_GBCF,,,,,,,,,,,,,,,,,,,138.0,188.0,196.0,242.0,260.0,354.0,337.0,223.0,128.0,15.0,32.0,233.0,33.0,84.0
reich_MIT_ISOLAT_Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reich_MITCovAlliance_SIR,,,,,,108.0,44.0,11.0,4.0,15.0,,7.0,,,5.0,10.0,28.0,51.0,,,185.0,,,,,,,,,,,40.0
reich_MOBS_GLEAM_COVID,,,,,,31.0,27.0,122.0,73.0,121.0,47.0,36.0,26.0,15.0,33.0,23.0,84.0,117.0,94.0,95.0,80.0,122.0,143.0,68.0,5.0,83.0,375.0,174.0,135.0,148.0,63.0,215.0
reich_MSRA_DeepST,,,,,,,,,,,,,,,,,,,,,156.0,,222.0,182.0,163.0,33.0,46.0,78.0,,,,
reich_NotreDame_mobility,,,,,,,,,,,,,,,,,,,139.0,115.0,95.0,101.0,83.0,98.0,13.0,127.0,275.0,155.0,221.0,,,
reich_OliverWyman_Navigator,,,,,,35.0,72.0,16.0,39.0,53.0,12.0,34.0,24.0,4.0,18.0,54.0,79.0,114.0,63.0,43.0,38.0,49.0,99.0,88.0,48.0,65.0,112.0,98.0,12.0,202.0,46.0,139.0
reich_PSI_DRAFT,,,,,,47.0,35.0,69.0,70.0,21.0,41.0,11.0,122.0,36.0,2.0,28.0,59.0,125.0,140.0,181.0,169.0,248.0,272.0,383.0,217.0,305.0,9.0,44.0,435.0,175.0,336.0,400.0
reich_RobertWalraven_ESG,,,,,,70.0,15.0,38.0,22.0,6.0,410.0,30.0,12.0,34.0,74.0,92.0,91.0,169.0,195.0,220.0,167.0,273.0,289.0,217.0,,19.0,153.0,17.0,274.0,261.0,222.0,147.0
