,Region,705,710,717,724,731
0,Belgium,,15297,3820,181,0
1,Bulgaria,,8971,8234,7633,7268
2,Czechia,,25205,9437,1239,0
3,Denmark,,17898,14566,18278,25199
4,Germany,,91186,26864,679,0
5,Estonia,,4634,4790,4910,4952
6,Ireland,,58673,61000,61814,64585
7,Greece,,42941,43529,41543,38375
8,Spain,,341879,384732,380649,332389
9,France,,616082,696847,787360,837084
10,Croatia,,16835,14681,12635,10900
11,Italy,,416343,668823,1070185,1714071
12,Cyprus,,4772,4606,3785,3108
13,Latvia,,4773,5714,5870,5755
14,Lithuania,,9201,9105,9216,9403
15,Luxembourg,,2859,2792,2758,2746
16,Hungary,,5705,54,0,0
17,Malta,,1117,1039,872,712
18,Netherlands,,49580,27479,12300,6421
19,Austria,,10473,7546,5600,4447
20,Poland,,55988,16934,0,0
21,Portugal,,94927,147297,213131,294765
22,Romania,,4077,4174,4908,6296
23,Slovenia,,8244,8408,8896,9136
24,Slovakia,,14284,5020,340,0
25,Finland,,19764,22814,23825,25205
26,Sweden,,24309,24886,24989,24554
27,United Kingdom,,694249,702698,661324,596150
28,Iceland,,2789,3972,5615,7436
29,Liechtenstein,,157,148,319,990
30,Norway,,16028,9731,6807,6504
31,Switzerland,,39690,30068,23114,18655
