,Region,670,675,682,689,696
0,Belgium,,126940,162709,206310,260022
1,Bulgaria,,14851,11397,9522,7643
2,Czechia,,138736,191099,260995,354084
3,Denmark,,30721,33350,34684,36200
4,Germany,,470594,613434,820121,1072056
5,Estonia,,3080,1448,433,8
6,Ireland,,32452,33993,36694,40053
7,Greece,,40839,32825,25340,19470
8,Spain,,47662,63042,77549,89281
9,France,,153231,185587,184455,155930
10,Croatia,,31034,29100,26808,23956
11,Italy,,70677,70940,65161,55596
12,Cyprus,,3745,4008,3863,3389
13,Latvia,,3227,978,39,0
14,Lithuania,,7729,3904,1368,211
15,Luxembourg,,1583,1296,1024,816
16,Hungary,,82280,109212,139526,184677
17,Malta,,490,484,437,377
18,Netherlands,,135817,117541,82092,52769
19,Austria,,119760,149361,184378,226081
20,Poland,,177827,232246,298877,377969
21,Portugal,,17159,19031,19417,18568
22,Romania,,9210,2068,0,0
23,Slovenia,,22399,21562,20174,18432
24,Slovakia,,79892,94800,111920,131481
25,Finland,,4357,3972,3694,3398
26,Sweden,,5634,5374,5172,5011
27,United Kingdom,,304430,316159,321396,322716
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,16785,19178,21370,23374
31,Switzerland,,37361,38477,36403,32887
