,Region,677,682,689,696,703
0,Belgium,,148350,182036,223159,273599
1,Bulgaria,,15238,14287,13243,12115
2,Czechia,,167690,209299,257638,311039
3,Denmark,,27232,25140,23491,22950
4,Germany,,478285,551756,627484,705017
5,Estonia,,3093,2336,1431,880
6,Ireland,,31261,30855,31614,33425
7,Greece,,40760,34811,28973,23814
8,Spain,,64396,75440,84507,90664
9,France,,184079,183877,150347,112180
10,Croatia,,34630,35139,35165,34824
11,Italy,,87004,86390,78159,65042
12,Cyprus,,2501,3078,3290,3284
13,Latvia,,5007,3654,2486,1575
14,Lithuania,,8719,7877,5293,4524
15,Luxembourg,,2107,1904,1661,1435
16,Hungary,,76634,78492,74200,63054
17,Malta,,594,500,420,354
18,Netherlands,,166905,177335,187161,195255
19,Austria,,76168,57549,38373,22278
20,Poland,,197903,233318,267655,304319
21,Portugal,,25222,28235,28756,27035
22,Romania,,9411,5545,3076,1685
23,Slovenia,,12652,8484,5611,3825
24,Slovakia,,91933,107393,125020,145089
25,Finland,,8017,8050,8370,8518
26,Sweden,,7600,6861,6164,5592
27,United Kingdom,,351163,362236,359998,350240
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,21991,26848,32423,39086
31,Switzerland,,54600,59154,60382,59469
