,Region,488,493
0,Belgium,,100
1,Bulgaria,,128
2,Czechia,,79
3,Denmark,,NaN
4,Germany,,801
5,Estonia,,NaN
6,Ireland,,NaN
7,Greece,,316
8,Spain,,81
9,France,,740
10,Croatia,,114
11,Italy,,730
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,210
17,Malta,,NaN
18,Netherlands,,72
19,Austria,,48
20,Poland,,660
21,Portugal,,19
22,Romania,,256
23,Slovenia,,12
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,9
27,United Kingdom,,31
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,16
