,Region,572,577
0,Belgium,,15
1,Bulgaria,,150
2,Czechia,,NaN
3,Denmark,,NaN
4,Germany,,114
5,Estonia,,NaN
6,Ireland,,NaN
7,Greece,,173
8,Spain,,199
9,France,,311
10,Croatia,,14
11,Italy,,218
12,Cyprus,,15
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,NaN
17,Malta,,NaN
18,Netherlands,,34
19,Austria,,12
20,Poland,,15
21,Portugal,,89
22,Romania,,45
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,NaN
