,Region,425,430
0,Belgium,,155
1,Bulgaria,,946
2,Czechia,,1238
3,Denmark,,12
4,Germany,,1540
5,Estonia,,NaN
6,Ireland,,60
7,Greece,,397
8,Spain,,180
9,France,,2097
10,Croatia,,127
11,Italy,,2879
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,1569
17,Malta,,NaN
18,Netherlands,,258
19,Austria,,181
20,Poland,,2664
21,Portugal,,68
22,Romania,,835
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,31
27,United Kingdom,,649
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,50
