,Region,593,598
0,Belgium,,25
1,Bulgaria,,394
2,Czechia,,NaN
3,Denmark,,11
4,Germany,,244
5,Estonia,,NaN
6,Ireland,,16
7,Greece,,202
8,Spain,,164
9,France,,454
10,Croatia,,52
11,Italy,,396
12,Cyprus,,12
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,NaN
17,Malta,,NaN
18,Netherlands,,45
19,Austria,,31
20,Poland,,46
21,Portugal,,63
22,Romania,,263
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,24
