,Region,481,486
0,Belgium,,128
1,Bulgaria,,272
2,Czechia,,153
3,Denmark,,NaN
4,Germany,,961
5,Estonia,,NaN
6,Ireland,,16
7,Greece,,486
8,Spain,,134
9,France,,982
10,Croatia,,161
11,Italy,,1085
12,Cyprus,,8
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,396
17,Malta,,NaN
18,Netherlands,,118
19,Austria,,65
20,Poland,,1142
21,Portugal,,14
22,Romania,,462
23,Slovenia,,14
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,19
27,United Kingdom,,73
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,13
