,Region,474,479
0,Belgium,,197
1,Bulgaria,,249
2,Czechia,,240
3,Denmark,,12
4,Germany,,1200
5,Estonia,,NaN
6,Ireland,,15
7,Greece,,398
8,Spain,,138
9,France,,1087
10,Croatia,,230
11,Italy,,1383
12,Cyprus,,12
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,511
17,Malta,,NaN
18,Netherlands,,139
19,Austria,,102
20,Poland,,1101
21,Portugal,,12
22,Romania,,441
23,Slovenia,,19
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,17
27,United Kingdom,,67
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,22
