,Region,635,640
0,Belgium,,66
1,Bulgaria,,689
2,Czechia,,53
3,Denmark,,13
4,Germany,,405
5,Estonia,,37
6,Ireland,,NaN
7,Greece,,256
8,Spain,,NaN
9,France,,178
10,Croatia,,108
11,Italy,,217
12,Cyprus,,NaN
13,Latvia,,109
14,Lithuania,,239
15,Luxembourg,,NaN
16,Hungary,,91
17,Malta,,NaN
18,Netherlands,,54
19,Austria,,NaN
20,Poland,,324
21,Portugal,,58
22,Romania,,2587
23,Slovenia,,NaN
24,Slovakia,,130
25,Finland,,NaN
26,Sweden,,10
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,19
