,Region,649,654
0,Belgium,,159
1,Bulgaria,,1113
2,Czechia,,235
3,Denmark,,26
4,Germany,,857
5,Estonia,,90
6,Ireland,,NaN
7,Greece,,365
8,Spain,,46
9,France,,207
10,Croatia,,303
11,Italy,,379
12,Cyprus,,NaN
13,Latvia,,200
14,Lithuania,,251
15,Luxembourg,,NaN
16,Hungary,,408
17,Malta,,NaN
18,Netherlands,,148
19,Austria,,NaN
20,Poland,,873
21,Portugal,,31
22,Romania,,2791
23,Slovenia,,NaN
24,Slovakia,,196
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,28
