,Region,509,514
0,Belgium,,29
1,Bulgaria,,50
2,Czechia,,42
3,Denmark,,NaN
4,Germany,,366
5,Estonia,,NaN
6,Ireland,,NaN
7,Greece,,110
8,Spain,,64
9,France,,230
10,Croatia,,31
11,Italy,,343
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,31
17,Malta,,NaN
18,Netherlands,,25
19,Austria,,17
20,Poland,,211
21,Portugal,,NaN
22,Romania,,81
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,8
27,United Kingdom,,105
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,7
