,Region,460,465
0,Belgium,,225
1,Bulgaria,,489
2,Czechia,,350
3,Denmark,,22
4,Germany,,1618
5,Estonia,,NaN
6,Ireland,,36
7,Greece,,519
8,Spain,,210
9,France,,1883
10,Croatia,,309
11,Italy,,2122
12,Cyprus,,18
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,961
17,Malta,,NaN
18,Netherlands,,162
19,Austria,,178
20,Poland,,2056
21,Portugal,,18
22,Romania,,841
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,32
27,United Kingdom,,175
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,27
