,Region,656,661
0,Belgium,,101
1,Bulgaria,,993
2,Czechia,,389
3,Denmark,,31
4,Germany,,938
5,Estonia,,93
6,Ireland,,NaN
7,Greece,,480
8,Spain,,31
9,France,,226
10,Croatia,,326
11,Italy,,345
12,Cyprus,,NaN
13,Latvia,,219
14,Lithuania,,228
15,Luxembourg,,NaN
16,Hungary,,613
17,Malta,,NaN
18,Netherlands,,209
19,Austria,,NaN
20,Poland,,1006
21,Portugal,,42
22,Romania,,2153
23,Slovenia,,NaN
24,Slovakia,,245
25,Finland,,NaN
26,Sweden,,14
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,21
