,Region,446,451
0,Belgium,,202
1,Bulgaria,,682
2,Czechia,,548
3,Denmark,,11
4,Germany,,1133
5,Estonia,,NaN
6,Ireland,,53
7,Greece,,599
8,Spain,,177
9,France,,2035
10,Croatia,,259
11,Italy,,2565
12,Cyprus,,14
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,1129
17,Malta,,NaN
18,Netherlands,,147
19,Austria,,199
20,Poland,,2443
21,Portugal,,41
22,Romania,,938
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,21
27,United Kingdom,,145
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,41
