,Region,544,549
0,Belgium,,NaN
1,Bulgaria,,24
2,Czechia,,NaN
3,Denmark,,NaN
4,Germany,,178
5,Estonia,,NaN
6,Ireland,,NaN
7,Greece,,84
8,Spain,,55
9,France,,212
10,Croatia,,11
11,Italy,,167
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,11
17,Malta,,NaN
18,Netherlands,,NaN
19,Austria,,NaN
20,Poland,,47
21,Portugal,,63
22,Romania,,26
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,NaN
