,Region,418,423
0,Belgium,,159
1,Bulgaria,,809
2,Czechia,,1387
3,Denmark,,15
4,Germany,,1479
5,Estonia,,NaN
6,Ireland,,93
7,Greece,,393
8,Spain,,292
9,France,,1807
10,Croatia,,90
11,Italy,,2686
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,1451
17,Malta,,NaN
18,Netherlands,,260
19,Austria,,142
20,Poland,,2656
21,Portugal,,135
22,Romania,,673
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,34
27,United Kingdom,,819
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,39
