,Region,614,619
0,Belgium,,40
1,Bulgaria,,446
2,Czechia,,19
3,Denmark,,12
4,Germany,,341
5,Estonia,,NaN
6,Ireland,,25
7,Greece,,239
8,Spain,,90
9,France,,239
10,Croatia,,102
11,Italy,,305
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,32
17,Malta,,NaN
18,Netherlands,,30
19,Austria,,56
20,Poland,,98
21,Portugal,,36
22,Romania,,1200
23,Slovenia,,20
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,8
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,13
