,Region,453,458
0,Belgium,,224
1,Bulgaria,,535
2,Czechia,,503
3,Denmark,,14
4,Germany,,1847
5,Estonia,,NaN
6,Ireland,,47
7,Greece,,521
8,Spain,,219
9,France,,1687
10,Croatia,,313
11,Italy,,2368
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,1504
17,Malta,,NaN
18,Netherlands,,162
19,Austria,,190
20,Poland,,2939
21,Portugal,,33
22,Romania,,817
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,34
27,United Kingdom,,154
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,24
