,Region,579,584
0,Belgium,,23
1,Bulgaria,,207
2,Czechia,,NaN
3,Denmark,,NaN
4,Germany,,160
5,Estonia,,NaN
6,Ireland,,15
7,Greece,,161
8,Spain,,186
9,France,,476
10,Croatia,,25
11,Italy,,311
12,Cyprus,,15
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,NaN
17,Malta,,NaN
18,Netherlands,,40
19,Austria,,NaN
20,Poland,,17
21,Portugal,,82
22,Romania,,100
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,23
