,Region,628,633
0,Belgium,,47
1,Bulgaria,,667
2,Czechia,,31
3,Denmark,,11
4,Germany,,377
5,Estonia,,NaN
6,Ireland,,26
7,Greece,,217
8,Spain,,59
9,France,,181
10,Croatia,,132
11,Italy,,233
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,81
17,Malta,,NaN
18,Netherlands,,27
19,Austria,,71
20,Poland,,246
21,Portugal,,43
22,Romania,,2512
23,Slovenia,,20
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,9
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,11
