,Region,565,570
0,Belgium,,20
1,Bulgaria,,79
2,Czechia,,NaN
3,Denmark,,NaN
4,Germany,,139
5,Estonia,,NaN
6,Ireland,,NaN
7,Greece,,74
8,Spain,,178
9,France,,281
10,Croatia,,13
11,Italy,,170
12,Cyprus,,10
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,NaN
17,Malta,,NaN
18,Netherlands,,23
19,Austria,,14
20,Poland,,27
21,Portugal,,80
22,Romania,,40
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,NaN
