,Region,530,535
0,Belgium,,17
1,Bulgaria,,42
2,Czechia,,13
3,Denmark,,NaN
4,Germany,,176
5,Estonia,,NaN
6,Ireland,,11
7,Greece,,94
8,Spain,,53
9,France,,168
10,Croatia,,19
11,Italy,,136
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,6
17,Malta,,NaN
18,Netherlands,,11
19,Austria,,NaN
20,Poland,,61
21,Portugal,,39
22,Romania,,18
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,NaN
