,Region,600,605
0,Belgium,,38
1,Bulgaria,,322
2,Czechia,,NaN
3,Denmark,,14
4,Germany,,267
5,Estonia,,NaN
6,Ireland,,34
7,Greece,,225
8,Spain,,108
9,France,,415
10,Croatia,,91
11,Italy,,361
12,Cyprus,,11
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,NaN
17,Malta,,NaN
18,Netherlands,,37
19,Austria,,46
20,Poland,,59
21,Portugal,,52
22,Romania,,375
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,32
