,Region,523,528
0,Belgium,,13
1,Bulgaria,,26
2,Czechia,,13
3,Denmark,,NaN
4,Germany,,180
5,Estonia,,NaN
6,Ireland,,NaN
7,Greece,,70
8,Spain,,33
9,France,,109
10,Croatia,,18
11,Italy,,124
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,18
17,Malta,,NaN
18,Netherlands,,10
19,Austria,,27
20,Poland,,82
21,Portugal,,27
22,Romania,,26
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,NaN
