,Region,558,563
0,Belgium,,16
1,Bulgaria,,30
2,Czechia,,12
3,Denmark,,NaN
4,Germany,,164
5,Estonia,,NaN
6,Ireland,,NaN
7,Greece,,73
8,Spain,,124
9,France,,353
10,Croatia,,NaN
11,Italy,,176
12,Cyprus,,17
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,NaN
17,Malta,,NaN
18,Netherlands,,17
19,Austria,,NaN
20,Poland,,21
21,Portugal,,77
22,Romania,,18
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,NaN
