,Region,663,668
0,Belgium,,160
1,Bulgaria,,964
2,Czechia,,519
3,Denmark,,42
4,Germany,,1565
5,Estonia,,46
6,Ireland,,NaN
7,Greece,,615
8,Spain,,122
9,France,,315
10,Croatia,,553
11,Italy,,489
12,Cyprus,,NaN
13,Latvia,,176
14,Lithuania,,182
15,Luxembourg,,NaN
16,Hungary,,1020
17,Malta,,NaN
18,Netherlands,,270
19,Austria,,NaN
20,Poland,,1540
21,Portugal,,61
22,Romania,,1538
23,Slovenia,,NaN
24,Slovakia,,380
25,Finland,,NaN
26,Sweden,,11
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,35
31,Switzerland,,42
