,Region,432,437
0,Belgium,,204
1,Bulgaria,,733
2,Czechia,,896
3,Denmark,,16
4,Germany,,1462
5,Estonia,,NaN
6,Ireland,,73
7,Greece,,453
8,Spain,,183
9,France,,2228
10,Croatia,,178
11,Italy,,2997
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,1968
17,Malta,,NaN
18,Netherlands,,218
19,Austria,,198
20,Poland,,3084
21,Portugal,,54
22,Romania,,964
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,36
27,United Kingdom,,466
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,34
