,Region,607,612
0,Belgium,,30
1,Bulgaria,,507
2,Czechia,,NaN
3,Denmark,,11
4,Germany,,289
5,Estonia,,NaN
6,Ireland,,20
7,Greece,,270
8,Spain,,108
9,France,,308
10,Croatia,,88
11,Italy,,335
12,Cyprus,,7
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,46
17,Malta,,NaN
18,Netherlands,,38
19,Austria,,48
20,Poland,,79
21,Portugal,,36
22,Romania,,1088
23,Slovenia,,22
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,19
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,19
