,Region,537,542
0,Belgium,,16
1,Bulgaria,,46
2,Czechia,,NaN
3,Denmark,,NaN
4,Germany,,191
5,Estonia,,NaN
6,Ireland,,NaN
7,Greece,,153
8,Spain,,54
9,France,,216
10,Croatia,,12
11,Italy,,163
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,7
17,Malta,,NaN
18,Netherlands,,29
19,Austria,,NaN
20,Poland,,54
21,Portugal,,52
22,Romania,,11
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,NaN
