,Region,516,521
0,Belgium,,19
1,Bulgaria,,64
2,Czechia,,27
3,Denmark,,NaN
4,Germany,,282
5,Estonia,,NaN
6,Ireland,,NaN
7,Greece,,83
8,Spain,,35
9,France,,162
10,Croatia,,21
11,Italy,,202
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,22
17,Malta,,NaN
18,Netherlands,,11
19,Austria,,13
20,Poland,,142
21,Portugal,,22
22,Romania,,37
23,Slovenia,,5
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,NaN
