,State,593,598,605,612,619,626,633
0,Washington,NaN,37112,38812,37443,33278,27293,20730
1,Illinois,NaN,19761,13715,8409,4616,2304,1067
2,California,NaN,75169,56569,38888,24615,14431,7892
3,Arizona,NaN,18999,15321,11311,7673,4801,2787
4,Massachusetts,NaN,6639,4214,2338,1165,532,229
5,Wisconsin,NaN,13768,12336,10044,7437,5033,3126
6,Texas,NaN,137606,128951,114473,96768,78622,61663
7,Nebraska,NaN,6289,6228,5631,4653,3526,2458
8,Utah,NaN,8088,7361,6322,5126,3935,2859
9,Oregon,NaN,18478,14954,10547,6553,3640,1834
10,Florida,NaN,104171,77128,53977,36110,23185,14351
11,New York,NaN,18658,11112,5826,2759,1215,508
12,Rhode Island,NaN,1319,852,486,250,118,52
13,Georgia,NaN,53086,39325,26749,16962,10106,5682
14,New Hampshire,NaN,1870,1428,952,564,304,153
15,North Carolina,NaN,28287,18703,10940,5758,2778,1252
16,New Jersey,NaN,17297,15761,12945,9600,6454,3949
17,Colorado,NaN,12561,12005,10595,8599,6431,4427
18,Maryland,NaN,4087,2234,1078,482,206,86
19,Nevada,NaN,4153,2771,1694,960,507,252
20,Tennessee,NaN,51790,47508,40121,31653,23691,17009
21,Hawaii,NaN,4032,3194,2460,1867,1405,1053
22,Indiana,NaN,36488,35339,30593,23892,16892,10975
23,Kentucky,NaN,22295,15535,9415,5073,2485,1131
24,Minnesota,NaN,6964,4387,2401,1184,541,237
25,Oklahoma,NaN,14725,12325,9793,7441,5440,3851
26,Pennsylvania,NaN,14973,9636,5506,2916,1478,731
27,South Carolina,NaN,33920,30048,24817,19359,14392,10325
28,District of Columbia,NaN,1044,766,495,287,151,72
29,Kansas,NaN,9975,8972,7560,5986,4466,3146
30,Missouri,NaN,12244,9878,7763,5976,4533,3401
31,Vermont,NaN,734,497,292,150,71,30
32,Virginia,NaN,20437,16621,11899,7565,4325,2249
33,Connecticut,NaN,2967,1931,1111,574,271,121
34,Iowa,NaN,9435,8410,6715,4833,3186,1951
35,Louisiana,NaN,19200,13912,9699,6565,4338,2807
36,Ohio,NaN,28686,22045,15161,9682,5905,3506
37,Michigan,NaN,18892,18551,16440,13135,9447,6160
38,South Dakota,NaN,4498,4861,4576,3822,2896,2031
39,Arkansas,NaN,9954,7297,5013,3236,1972,1136
40,Delaware,NaN,855,656,482,340,229,147
41,Mississippi,NaN,21185,17697,13971,10533,7652,5403
42,New Mexico,NaN,4566,3318,2121,1210,623,295
43,North Dakota,NaN,3928,4551,4606,4091,3239,2329
44,Wyoming,NaN,3045,2548,1971,1454,1043,738
45,Alaska,NaN,3796,3153,2405,1711,1143,722
46,Maine,NaN,1260,859,504,262,125,55
47,Alabama,NaN,31608,28721,24486,19686,15051,10985
48,Idaho,NaN,6385,5852,4876,3698,2576,1652
49,Montana,NaN,4796,5165,5099,4615,3848,2988
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,14269,15316,14154,11440,8225,5368
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
