,State,677,682,689,696,703,710
0,Washington,NaN,5689,4651,3755,3005,2378
1,Illinois,NaN,47071,53139,52542,45089,33812
2,California,NaN,21306,14452,8971,5163,2797
3,Arizona,NaN,28354,25658,21075,15749,10742
4,Massachusetts,NaN,41569,56420,61721,53509,38103
5,Wisconsin,NaN,14635,12088,9546,7212,5209
6,Texas,NaN,4914,3342,2242,1482,964
7,Nebraska,NaN,10900,11780,11605,10493,8796
8,Utah,NaN,5922,4691,3621,2733,2021
9,Oregon,NaN,3694,2482,1528,866,456
10,Florida,NaN,590,335,186,102,55
11,New York,NaN,39502,39731,39137,37647,35130
12,Rhode Island,NaN,2938,2221,1500,960,600
13,Georgia,NaN,1282,884,605,410,276
14,New Hampshire,NaN,8584,8606,7803,6388,4740
15,North Carolina,NaN,2794,1966,1364,936,635
16,New Jersey,NaN,7185,6470,5782,5125,4506
17,Colorado,NaN,15938,12208,8781,6011,3978
18,Maryland,NaN,3595,3124,2691,2293,1933
19,Nevada,NaN,2339,2019,1732,1473,1243
20,Tennessee,NaN,614,372,223,132,77
21,Hawaii,NaN,68,43,26,16,10
22,Indiana,NaN,22194,20077,15588,10432,6228
23,Kentucky,NaN,3015,2301,1737,1299,957
24,Minnesota,NaN,18805,13418,9071,5954,3854
25,Oklahoma,NaN,1681,1223,880,626,440
26,Pennsylvania,NaN,38409,29232,20537,13952,9304
27,South Carolina,NaN,432,247,139,76,41
28,District of Columbia,NaN,838,852,748,570,387
29,Kansas,NaN,3684,3216,2757,2325,1926
30,Missouri,NaN,23436,18228,10479,4897,2052
31,Vermont,NaN,2367,2342,2255,2102,1905
32,Virginia,NaN,4591,3692,2943,2325,1821
33,Connecticut,NaN,16151,32223,48745,51600,40012
34,Iowa,NaN,13494,11928,8973,5862,3431
35,Louisiana,NaN,813,571,382,244,148
36,Ohio,NaN,12841,10641,8771,7196,5881
37,Michigan,NaN,52485,50657,46579,40852,34304
38,South Dakota,NaN,2078,1565,1061,656,371
39,Arkansas,NaN,887,681,520,395,297
40,Delaware,NaN,811,617,462,341,248
41,Mississippi,NaN,953,664,430,259,145
42,New Mexico,NaN,6523,4297,2503,1328,661
43,North Dakota,NaN,897,631,438,301,205
44,Wyoming,NaN,594,331,174,88,43
45,Alaska,NaN,513,291,159,82,42
46,Maine,NaN,2985,2704,2412,2119,1836
47,Alabama,NaN,446,276,169,101,61
48,Idaho,NaN,1763,1304,953,691,495
49,Montana,NaN,1459,1014,685,451,287
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,4325,3037,1869,1051,560
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN
