,State,607,612,619,626,633,640,647
0,Washington,NaN,20662,17897,14830,11806,9044,6671
1,Illinois,NaN,24388,21355,17932,14481,11269,8458
2,California,NaN,43534,31025,21277,14088,9032,5641
3,Arizona,NaN,14399,11212,8301,5833,3915,2512
4,Massachusetts,NaN,13785,13932,13721,13164,12319,11262
5,Wisconsin,NaN,14824,14081,12880,11357,9667,7964
6,Texas,NaN,97193,80996,65095,50688,38360,28454
7,Nebraska,NaN,4108,3198,2318,1576,1009,615
8,Utah,NaN,10825,10162,9132,7891,6587,5340
9,Oregon,NaN,9963,7686,5635,3932,2618,1669
10,Florida,NaN,55945,39082,26548,17617,11432,7268
11,New York,NaN,31873,29270,26162,22648,19029,15525
12,Rhode Island,NaN,2374,2252,2066,1839,1590,1341
13,Georgia,NaN,31336,21572,14069,8775,5276,3080
14,New Hampshire,NaN,3328,3513,3573,3497,3299,3000
15,North Carolina,NaN,42779,37291,31195,25166,19668,14927
16,New Jersey,NaN,13945,12696,11140,9473,7775,6177
17,Colorado,NaN,13809,13447,12661,11558,10202,8764
18,Maryland,NaN,7523,6845,6034,5157,4275,3439
19,Nevada,NaN,6798,6149,5444,4725,4023,3366
20,Tennessee,NaN,43674,34679,25976,18638,12953,8789
21,Hawaii,NaN,2775,1875,1185,708,401,219
22,Indiana,NaN,23217,18859,14422,10506,7257,4812
23,Kentucky,NaN,24907,20913,16780,12983,9736,7139
24,Minnesota,NaN,14412,14492,14029,13100,11817,10318
25,Oklahoma,NaN,12993,10606,8348,6377,4745,3471
26,Pennsylvania,NaN,33391,34265,33856,32255,29734,26589
27,South Carolina,NaN,27733,22304,17049,12513,8879,6118
28,District of Columbia,NaN,1390,1253,1072,873,678,504
29,Kansas,NaN,9384,8337,7150,5934,4781,3753
30,Missouri,NaN,12215,10730,9306,7994,6797,5735
31,Vermont,NaN,1313,1321,1279,1196,1078,936
32,Virginia,NaN,24484,22850,20453,17601,14597,11695
33,Connecticut,NaN,3983,3603,3169,2720,2273,1849
34,Iowa,NaN,11693,11674,11122,10135,8881,7522
35,Louisiana,NaN,6872,4349,2659,1576,905,504
36,Ohio,NaN,55951,56999,54890,50197,43793,36636
37,Michigan,NaN,22476,23741,24378,24321,23608,22305
38,South Dakota,NaN,2768,2235,1673,1171,775,488
39,Arkansas,NaN,8073,6309,4791,3537,2553,1799
40,Delaware,NaN,3169,3037,2726,2039,1381,910
41,Mississippi,NaN,7644,5226,3479,2266,1449,910
42,New Mexico,NaN,3862,3145,2285,1363,673,301
43,North Dakota,NaN,3365,3157,2757,2263,1761,1315
44,Wyoming,NaN,3311,2875,2367,1864,1424,1059
45,Alaska,NaN,4212,3762,3212,2637,2096,1620
46,Maine,NaN,4006,4652,5223,5656,5897,5915
47,Alabama,NaN,19957,15812,11996,8766,6188,4224
48,Idaho,NaN,10096,10261,9839,8937,7732,6414
49,Montana,NaN,5902,6039,5834,5339,4660,3902
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,13140,11774,9706,7515,5448,3797
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
